seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,decode_load_ms,decode_total_frames,decode_throughput_fpms,seek_msg_seq,event
0,1780628870323,0,host,0.00,0.00,1780628870323,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,150,43201152,288007.68,0,decode_load
1,1780628931004,0,192.168.35.220:58752,0.00,0.00,1780628931004,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,118,43201152,366111.46,0,decode_load
2,1780628932047,0,host,0.00,0.00,1780628931927,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,host_play
3,1780628932722,1780628932238,192.168.35.220:58752,0.00,0.00,1780628932520,522219912.0,23022,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,guest_start
4,1780628932723,1780628932446,192.168.35.220:58752,-655.02,-655.02,1780628932520,522219912.0,23022,476,0,9.57,8.88,-0.69,0.00,0.0,0.0,0,0,0,0,0.00,0,fallback
5,1780628933304,1780628933031,192.168.35.220:58752,-30.40,-30.40,1780628933020,522219912.0,47074,58583,0,10.64,8.82,-1.83,0.00,0.0,0.0,0,0,0,0,0.00,0,fallback
6,1780628933975,1780628933592,192.168.35.220:58752,-50.10,-50.10,1780628933524,522219912.0,71224,84479,0,9.79,7.04,-2.75,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
7,1780628934408,1780628934098,192.168.35.220:58752,-50.40,-50.40,1780628934026,522219912.0,95330,108862,0,9.77,9.09,-0.68,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
8,1780628934915,1780628934604,192.168.35.220:58752,-37.42,-37.42,1780628934450,522219912.0,115708,133725,0,10.53,8.31,-2.22,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
9,1780628935424,1780628935110,192.168.35.220:58752,-38.41,-38.41,1780628934956,522219912.0,139924,158001,0,9.03,9.04,0.01,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
10,1780628936002,1780628935612,192.168.35.220:58752,-29.84,-29.84,1780628935462,522219912.0,164264,182525,0,10.12,8.40,-1.72,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
11,1780628936430,1780628936117,192.168.35.220:58752,-29.82,-29.82,1780628935966,522219912.0,188440,206818,0,9.81,9.50,-0.31,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
12,1780628937041,1780628936622,192.168.35.220:58752,-29.06,-29.06,1780628936470,522219912.0,212596,231000,0,8.82,8.30,-0.52,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
13,1780628937413,1780628937128,192.168.35.220:58752,-29.84,-29.84,1780628936976,522219912.0,236874,255282,0,8.84,9.17,0.34,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
14,1780628937957,1780628937632,192.168.35.220:58752,-29.84,-29.84,1780628937482,522219912.0,261247,279527,0,10.59,9.26,-1.33,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
15,1780628938406,1780628938137,192.168.35.220:58752,-28.83,-28.83,1780628937986,522219912.0,285414,303753,0,10.09,8.98,-1.11,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
16,1780628939058,1780628938694,192.168.35.220:58752,-28.85,-28.85,1780628938490,522219912.0,309630,330429,0,10.57,7.73,-2.84,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
17,1780628939507,1780628939199,192.168.35.220:58752,-28.80,-28.80,1780628938996,522219912.0,333910,354705,0,10.44,8.47,-1.97,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
18,1780628940078,1780628939706,192.168.35.220:58752,-29.84,-29.84,1780628939500,522219912.0,358111,379039,0,10.60,9.44,-1.16,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
19,1780628940514,1780628940209,192.168.35.220:58752,-28.82,-28.82,1780628940004,522219912.0,382254,403185,0,9.61,8.49,-1.12,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
20,1780628941092,1780628940715,192.168.35.220:58752,-28.83,-28.83,1780628940508,522219912.0,406472,427493,0,10.14,8.91,-1.23,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
21,1780628941529,1780628941221,192.168.35.220:58752,-28.84,-28.84,1780628941016,522219912.0,430844,451762,0,9.87,8.49,-1.37,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
22,1780628942047,1780628941728,192.168.35.220:58752,-29.83,-29.83,1780628941522,522219912.0,455123,476085,0,9.69,9.22,-0.46,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
23,1780628942510,1780628942235,192.168.35.220:58752,-29.84,-29.84,1780628942026,522219912.0,479355,500417,0,10.50,9.14,-1.36,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
24,1780628943071,1780628942738,192.168.35.220:58752,-28.84,-28.84,1780628942428,522219912.0,498642,524586,0,10.32,8.67,-1.66,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
25,1780628943606,1780628943295,192.168.35.220:58752,1.56,1.56,1780628943434,522219912.0,546945,552794,0,10.64,8.94,-1.70,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
26,1780628944106,1780628943802,192.168.35.220:58752,0.57,0.57,1780628943940,522219912.0,571168,577100,0,9.29,9.31,0.02,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
27,1780628944660,1780628944307,192.168.35.220:58752,0.57,0.57,1780628944446,522219912.0,595476,601309,0,9.72,8.67,-1.05,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
28,1780628945106,1780628944810,192.168.35.220:58752,1.57,1.57,1780628944446,522219912.0,595476,625512,0,9.72,8.90,-0.82,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
29,1780628945607,1780628945315,192.168.35.220:58752,0.58,0.58,1780628945454,522219912.0,643900,649733,0,10.56,9.50,-1.06,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
30,1780628946114,1780628945820,192.168.35.220:58752,1.53,1.53,1780628945956,522219912.0,667935,673960,0,9.25,8.24,-1.01,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
31,1780628946617,1780628946323,192.168.35.220:58752,0.54,0.54,1780628946460,522219912.0,692120,698144,0,9.11,9.07,-0.04,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
32,1780628947107,1780628946828,192.168.35.220:58752,1.53,1.53,1780628946964,522219912.0,716380,722365,0,10.52,8.68,-1.85,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
33,1780628947676,1780628947334,192.168.35.220:58752,1.57,1.57,1780628947472,522219912.0,740763,746647,0,10.52,8.54,-1.98,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
34,1780628948119,1780628947838,192.168.35.220:58752,-0.44,-0.44,1780628947974,522219912.0,764865,770866,0,8.65,9.10,0.46,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
35,1780628948802,1780628948393,192.168.35.220:58752,1.56,1.56,1780628948480,522219912.0,789148,797500,0,10.54,8.99,-1.56,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
36,1780628949208,1780628948898,192.168.35.220:58752,1.55,1.55,1780628948984,522219912.0,813334,821737,0,10.41,8.92,-1.49,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
37,1780628949707,1780628949403,192.168.35.220:58752,0.57,0.57,1780628949490,522219912.0,837553,845942,0,8.98,9.18,0.20,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
38,1780628950206,1780628949906,192.168.35.220:58752,1.56,1.56,1780628949994,522219912.0,861835,870090,0,10.86,8.27,-2.58,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
39,1780628950731,1780628950411,192.168.35.220:58752,1.55,1.55,1780628950498,522219912.0,885986,894352,0,10.00,8.74,-1.26,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
40,1780628951218,1780628950917,192.168.35.220:58752,1.56,1.56,1780628951002,522219912.0,910190,918598,0,10.25,7.85,-2.40,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
41,1780628951710,1780628951423,192.168.35.220:58752,1.55,1.55,1780628951506,522219912.0,934366,942925,0,9.90,8.67,-1.23,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
42,1780628952208,1780628951927,192.168.35.220:58752,1.56,1.56,1780628952012,522219912.0,958670,967121,0,10.24,8.75,-1.49,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
43,1780628952769,1780628952432,192.168.35.220:58752,1.55,1.55,1780628952516,522219912.0,982845,991330,0,9.89,8.10,-1.78,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
44,1780628953212,1780628952938,192.168.35.220:58752,1.56,1.56,1780628953020,522219912.0,1007060,1015638,0,10.36,8.51,-1.85,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
45,1780628953811,1780628953494,192.168.35.220:58752,1.54,1.54,1780628953526,522219912.0,1031345,1042349,0,10.30,9.01,-1.29,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
46,1780628954305,1780628954001,192.168.35.220:58752,-0.45,-0.45,1780628953926,522219912.0,1050543,1066604,0,8.27,7.33,-0.94,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
47,1780628954810,1780628954507,192.168.35.220:58752,1.58,1.58,1780628954436,522219912.0,1074999,1090970,0,9.78,8.93,-0.85,0.00,522219904.0,522219912.0,20,18,0,0,0.00,0,fallback
48,1780628955328,1780628955012,192.168.35.220:58752,1.75,1.75,1780628954940,522219911.8,1099239,1115198,0,10.76,8.68,-2.07,0.00,522219910.0,522219910.0,10,10,0,0,0.00,0,fallback
