seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,event
0,1777727717571,0,host,0.00,0.00,1777727717181,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,host_play
1,1777727813589,1777727813664,192.168.35.43:52046,0.00,0.00,1777727812967,-239.5,4580160,0,0,0.00,0.00,0.00,0.00,-275.0,-275.0,11,11,guest_start
2,1777727813639,1777727813866,192.168.35.43:52046,-96055.88,-96055.88,1777727813471,-239.5,4604160,512,0,8.93,0.00,-8.93,0.00,-275.0,-275.0,11,11,fallback
3,1777727814191,1777727814457,192.168.35.43:52046,-60.85,-60.85,1777727813976,-239.5,4628160,4637478,0,9.09,22.60,13.51,0.00,-275.0,-275.0,11,11,fallback
4,1777727814754,1777727814959,192.168.35.43:52046,-55.66,-55.66,1777727814481,-243.1,4652160,4661542,0,7.92,24.12,16.20,0.00,-277.0,-275.0,13,11,fallback
5,1777727815194,1777727815460,192.168.35.43:52046,-17.01,-17.01,1777727814985,-243.1,4676160,4687244,0,8.80,24.80,16.01,0.00,-277.0,-275.0,13,11,fallback
6,1777727815788,1777727816058,192.168.35.43:52046,-57.72,-57.72,1777727815441,-246.3,4700160,4715916,0,8.11,23.35,15.24,0.00,-278.0,-275.0,12,11,fallback
7,1777727816291,1777727816559,192.168.35.43:52046,-17.30,-17.30,1777727815945,-246.3,4724160,4741763,0,8.47,24.78,16.30,0.00,-278.0,-275.0,12,11,fallback
8,1777727816890,1777727817156,192.168.35.43:52046,-8.27,-8.27,1777727816449,-249.1,4748160,4770435,0,7.80,22.28,14.47,0.00,-294.0,-275.0,51,11,fallback
9,1777727817390,1777727817657,192.168.35.43:52046,-2.46,-2.46,1777727816955,-249.1,4772160,4794499,0,8.31,23.31,15.00,0.00,-294.0,-275.0,51,11,fallback
10,1777727817893,1777727818159,192.168.35.43:52046,3.38,3.38,1777727817460,-251.7,4796160,4818563,0,8.50,24.57,16.07,0.00,-295.0,-275.0,46,11,fallback
11,1777727818489,1777727818756,192.168.35.43:52046,12.78,12.78,1777727817965,-254.1,4820160,4847235,0,7.78,22.11,14.34,0.00,-295.0,-275.0,50,11,fallback
12,1777727818990,1777727819257,192.168.35.43:52046,16.82,16.82,1777727818470,-254.1,4844160,4871299,0,7.65,23.29,15.64,0.00,-295.0,-275.0,50,11,fallback
13,1777727819522,1777727819759,192.168.35.43:52046,17.69,17.69,1777727818972,-254.1,4868160,4895363,0,8.61,24.71,16.10,0.00,-295.0,-275.0,50,11,fallback
14,1777727819988,1777727820260,192.168.35.43:52046,-23.77,-23.77,1777727819478,-256.2,4892160,4916857,0,8.37,20.81,12.44,0.00,-230.0,-275.0,104,11,fallback
15,1777727820589,1777727820857,192.168.35.43:52046,-59.88,-59.88,1777727820436,-258.0,4940160,4945785,0,9.21,23.32,14.11,0.00,-280.0,-275.0,18,11,fallback
16,1777727821092,1777727821359,192.168.35.43:52046,-17.82,-17.82,1777727820940,-258.0,4964160,4971790,0,8.88,24.70,15.82,0.00,-280.0,-275.0,18,11,fallback
17,1777727821591,1777727821860,192.168.35.43:52046,-13.89,-13.89,1777727821444,-259.7,4988160,4995598,0,8.11,20.69,12.59,0.00,-275.0,-275.0,10,10,fallback
18,1777727822191,1777727822457,192.168.35.43:52046,-4.58,-4.58,1777727821949,-259.7,5012064,5024526,0,7.46,23.39,15.94,0.00,-275.0,-275.0,10,10,fallback
19,1777727822731,1777727822959,192.168.35.43:52046,-6.49,-6.49,1777727821949,-259.7,5012064,5048590,0,7.46,24.64,17.18,0.00,-275.0,-275.0,10,10,fallback
20,1777727823193,1777727823460,192.168.35.43:52046,3.93,3.93,1777727822959,-261.3,5060160,5072398,0,8.90,20.19,11.29,0.00,-423.0,-275.0,311,10,fallback
21,1777727823790,1777727824057,192.168.35.43:52046,7.69,7.69,1777727823465,-262.6,5084448,5101326,0,8.90,23.47,14.57,0.00,-275.0,-275.0,10,10,fallback
22,1777727824289,1777727824559,192.168.35.43:52046,16.53,16.53,1777727823971,-262.6,5108160,5125390,0,7.58,24.64,17.06,0.00,-275.0,-275.0,10,10,fallback
