seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,event
0,1777724555922,0,host,0.00,0.00,1777724555572,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,host_play
1,1777724647169,1777724647232,192.168.35.43:51956,0.00,0.00,1777724646829,-282.9,4365984,0,0,0.00,0.00,0.00,0.00,-268.0,-268.0,15,12,guest_start
2,1777724647210,1777724647436,192.168.35.43:51956,-91262.75,-91262.75,1777724646829,-282.9,4365984,512,0,8.69,0.00,-8.69,0.00,-268.0,-268.0,15,12,fallback
3,1777724647756,1777724648013,192.168.35.43:51956,-69.65,-69.65,1777724647335,-281.4,4389888,4406373,0,7.26,23.75,16.50,0.00,-271.0,-268.0,16,12,fallback
4,1777724648261,1777724648514,192.168.35.43:51956,-67.18,-67.18,1777724647839,-281.4,4413984,4430437,0,7.85,24.21,16.36,0.00,-271.0,-268.0,16,12,fallback
5,1777724648856,1777724649112,192.168.35.43:51956,-14.91,-14.91,1777724648345,-280.1,4437984,4461292,0,8.59,22.14,13.55,0.00,-270.0,-268.0,13,12,fallback
6,1777724649409,1777724649650,192.168.35.43:51956,-9.04,-9.04,1777724648851,-279.0,4461984,4487148,0,9.18,22.42,13.24,0.00,-269.0,-269.0,12,12,fallback
7,1777724649957,1777724650210,192.168.35.43:51956,5.28,5.28,1777724649861,-279.0,4509888,4514028,0,9.27,20.20,10.93,0.00,-269.0,-269.0,12,12,fallback
8,1777724650453,1777724650712,192.168.35.43:51956,0.82,0.82,1777724649861,-278.0,4509888,4538092,0,9.27,23.00,13.73,0.00,-228.0,-269.0,113,12,fallback
9,1777724650957,1777724651213,192.168.35.43:51956,6.85,6.85,1777724650869,-278.0,4557888,4562156,0,8.01,24.04,16.03,0.00,-228.0,-269.0,113,12,fallback
10,1777724651453,1777724651715,192.168.35.43:51956,4.11,4.11,1777724650869,-277.1,4557888,4585964,0,8.01,19.88,11.88,0.00,-224.0,-269.0,98,12,fallback
11,1777724652054,1777724652312,192.168.35.43:51956,13.48,13.48,1777724651876,-277.1,4605888,4614892,0,7.79,22.96,15.17,0.00,-224.0,-269.0,98,12,fallback
12,1777724652604,1777724652813,192.168.35.43:51956,12.54,12.54,1777724651876,-277.1,4605888,4638956,0,7.79,24.23,16.44,0.00,-224.0,-269.0,98,12,fallback
13,1777724653057,1777724653315,192.168.35.43:51956,-13.25,-13.25,1777724652835,-276.3,4653792,4663507,0,7.87,19.78,11.91,0.00,-125.0,-269.0,295,12,fallback
14,1777724653651,1777724653911,192.168.35.43:51956,-7.86,-7.86,1777724653339,-275.4,4677888,4692435,0,8.53,22.89,14.36,0.00,-268.0,-268.0,10,10,fallback
15,1777724654154,1777724654413,192.168.35.43:51956,-7.50,-7.50,1777724653842,-275.4,4701888,4716499,0,7.89,24.22,16.33,0.00,-268.0,-268.0,10,10,fallback
16,1777724654652,1777724654914,192.168.35.43:51956,-6.66,-6.66,1777724654346,-274.8,4725984,4740563,0,8.22,25.40,17.18,0.00,-269.0,-269.0,10,10,fallback
17,1777724655255,1777724655511,192.168.35.43:51956,0.59,0.59,1777724654850,-274.8,4749984,4769235,0,8.62,22.89,14.27,0.00,-269.0,-269.0,10,10,fallback
18,1777724655754,1777724656013,192.168.35.43:51956,5.05,5.05,1777724655356,-274.2,4773888,4793299,0,7.37,23.93,16.56,0.00,-268.0,-269.0,11,10,fallback
19,1777724656252,1777724656514,192.168.35.43:51956,10.16,10.16,1777724655862,-274.2,4797984,4817363,0,9.45,25.23,15.78,0.00,-268.0,-269.0,11,10,fallback
