seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,decode_load_ms,decode_total_frames,decode_throughput_fpms,seek_msg_seq,event
0,1781063086126,0,host,0.00,0.00,1781063086126,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,132,34561152,261826.91,0,decode_load
1,1781063285530,0,192.168.35.209:49799,0.00,0.00,1781063285530,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,19,34560000,1818947.37,0,decode_load
2,1781063295008,0,host,0.00,0.00,1781063294727,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,host_play
3,1781063295729,1781063295307,192.168.35.209:49799,0.00,0.00,1781063295419,1127662153.0,19912,0,0,0.00,0.00,0.00,0.00,1127662152.0,1127662153.0,22,12,0,0,0.00,0,guest_start
4,1781063295731,1781063295500,192.168.35.209:49799,-736.30,-736.30,1781063295419,1127662153.0,19912,-480,0,6.81,10.27,3.46,0.00,1127662152.0,1127662153.0,22,12,0,0,0.00,0,fallback
5,1781063295735,1781063295518,192.168.35.209:49799,0.00,0.00,1781063295419,1127662153.0,19912,34216,0,0.00,0.00,0.00,0.00,1127662155.0,1127662153.0,15,12,0,0,0.00,0,anchor_set
6,1781063296238,1781063296018,192.168.35.209:49799,-0.57,-15.02,1781063295919,1127662153.0,43885,58862,0,6.23,10.27,4.04,3.46,1127662155.0,1127662153.0,15,12,0,0,0.00,0,drift
7,1781063296747,1781063296518,192.168.35.209:49799,0.07,-15.02,1781063296425,1127662153.0,68204,82862,0,6.88,10.27,3.39,3.46,1127662155.0,1127662153.0,15,12,0,0,0.00,0,drift
8,1781063297251,1781063297018,192.168.35.209:49799,-0.12,-15.00,1781063296911,1127662153.0,91522,106862,0,6.68,10.27,3.59,3.46,1127662155.0,1127662153.0,15,12,0,0,0.00,0,drift
9,1781063297736,1781063297518,192.168.35.209:49799,-0.77,-15.13,1781063297421,1127662153.1,115977,130862,0,6.14,10.27,4.13,3.46,1127662154.0,1127662154.0,9,9,0,0,0.00,0,drift
10,1781063298245,1781063298018,192.168.35.209:49799,0.48,-15.13,1781063297927,1127662153.1,140325,154862,0,7.39,10.27,2.88,3.46,1127662154.0,1127662154.0,9,9,0,0,0.00,0,drift
11,1781063298749,1781063298518,192.168.35.209:49799,-0.51,-15.20,1781063298331,1127662153.2,159673,178862,0,6.49,10.27,3.78,3.46,1127662154.0,1127662154.0,10,9,0,0,0.00,0,drift
12,1781063299274,1781063299018,192.168.35.209:49799,-4.43,-17.21,1781063298837,1127662153.2,183965,202862,0,4.57,10.27,5.71,3.46,1127662154.0,1127662154.0,10,9,0,0,0.00,0,drift
13,1781063299794,1781063299518,192.168.35.209:49799,-0.71,-15.21,1781063299345,1127662153.2,208336,226862,0,6.29,10.27,3.98,3.46,1127662154.0,1127662154.0,10,9,0,0,0.00,0,drift
