seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,decode_load_ms,decode_total_frames,decode_throughput_fpms,seek_msg_seq,event
0,1780650762851,0,host,0.00,0.00,1780650762851,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,110,34561152,314192.29,0,decode_load
1,1780650774180,0,host,0.00,0.00,1780650773858,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,host_play
2,1780650783107,0,192.168.35.220:58452,0.00,0.00,1780650783107,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,171,34561152,202112.00,0,decode_load
3,1780650783134,1780650782815,192.168.35.220:58452,0.00,0.00,1780650782646,522219957.0,406585,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,guest_start
4,1780650783176,1780650782848,192.168.35.220:58452,-8943.34,-8943.34,1780650782646,522219957.0,406585,1728,0,6.47,8.29,1.82,0.00,0.0,0.0,0,0,0,0,0.00,0,fallback
5,1780650783713,1780650783390,192.168.35.220:58452,-5.50,-5.50,1780650783153,522219957.0,430912,456804,0,7.28,9.19,1.91,0.00,0.0,0.0,0,0,0,0,0.00,0,fallback
6,1780650784315,1780650783969,192.168.35.220:58452,-4.50,-4.50,1780650784062,522219957.0,474615,484542,0,7.75,7.07,-0.68,0.00,0.0,0.0,0,0,0,0,0.00,0,fallback
7,1780650784510,1780650784171,192.168.35.220:58452,0.00,0.00,1780650784062,522219957.0,474615,494205,0,0.00,0.00,0.00,0.00,522219957.0,522219957.0,20,18,0,0,0.00,0,anchor_set
8,1780650784813,1780650784473,192.168.35.220:58452,-3.69,-27.57,1780650784566,522219957.0,498721,507733,0,5.99,9.30,3.32,-0.38,522219957.0,522219957.0,20,18,0,0,0.00,0,drift
9,1780650785321,1780650784977,192.168.35.220:58452,-2.96,-27.57,1780650785070,522219957.0,522931,531956,0,6.34,8.93,2.59,-0.38,522219957.0,522219957.0,20,18,0,0,0.00,0,drift
10,1780650785816,1780650785483,192.168.35.220:58452,-0.92,-26.58,1780650785576,522219957.0,547183,556205,0,7.59,9.14,1.54,-0.38,522219957.0,522219957.0,20,18,0,0,0.00,0,drift
11,1780650786332,1780650785986,192.168.35.220:58452,-1.21,-27.58,1780650786080,522219957.0,571431,580323,0,6.76,7.60,0.83,-0.38,522219957.0,522219957.0,20,18,0,0,0.00,0,drift
12,1780650786815,1780650786492,192.168.35.220:58452,-5.27,-29.56,1780650786585,522219957.0,595682,604626,0,5.99,8.88,2.89,-0.38,522219970.0,522219957.0,27,18,0,0,0.00,0,drift
13,1780650787499,1780650787046,192.168.35.220:58452,-2.00,-27.58,1780650787090,522219957.0,619964,631246,0,7.86,9.48,1.62,-0.38,522219970.0,522219957.0,27,18,0,0,0.00,0,drift
14,1780650788019,1780650787551,192.168.35.220:58452,-0.32,-27.59,1780650787596,522219957.0,644229,655430,0,7.38,7.32,-0.05,-0.38,522219970.0,522219957.0,27,18,0,0,0.00,0,drift
15,1780650788525,1780650788057,192.168.35.220:58452,-0.58,-26.56,1780650788103,522219957.0,668559,679774,0,8.29,9.49,1.21,-0.38,522219970.0,522219957.0,27,18,0,0,0.00,0,drift
16,1780650788939,1780650788560,192.168.35.220:58452,-3.47,-27.58,1780650788608,522219957.0,692754,703915,0,6.33,9.43,3.10,-0.38,522219970.0,522219957.0,27,18,0,0,0.00,0,drift
17,1780650789429,1780650789066,192.168.35.220:58452,-1.45,-27.54,1780650789115,522219957.0,717117,728183,0,7.91,8.99,1.08,-0.38,522219970.0,522219957.0,27,18,0,0,0.00,0,drift
