seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,decode_load_ms,decode_total_frames,decode_throughput_fpms,seek_msg_seq,event
0,1780654020849,0,host,0.00,0.00,1780654020849,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,123,34561152,280984.98,0,decode_load
1,1780654037471,0,192.168.35.220:58318,0.00,0.00,1780654037471,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,189,34561152,182863.24,0,decode_load
2,1780654038498,0,host,0.00,0.00,1780654038155,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,host_play
3,1780654039308,1780654038643,192.168.35.220:58318,0.00,0.00,1780654038942,522219965.0,21666,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,guest_start
4,1780654039309,1780654038983,192.168.35.220:58318,-798.51,-798.51,1780654038942,522219965.0,21666,384,0,7.34,8.48,1.13,0.00,0.0,0.0,0,0,0,0,0.00,0,fallback
5,1780654039947,1780654039546,192.168.35.220:58318,-22.44,-22.44,1780654039446,522219965.0,45800,64674,0,6.13,8.78,2.65,0.00,0.0,0.0,0,0,0,0,0.00,0,fallback
6,1780654040507,1780654040129,192.168.35.220:58318,-21.61,-21.61,1780654039950,522219965.0,70040,92635,0,7.12,7.46,0.34,0.00,522219973.0,522219965.0,27,14,0,0,0.00,0,fallback
7,1780654041009,1780654040634,192.168.35.220:58318,-21.61,-21.61,1780654040432,522219965.0,93179,116885,0,7.19,7.68,0.49,0.00,522219973.0,522219965.0,27,14,0,0,0.00,0,fallback
8,1780654041504,1780654041138,192.168.35.220:58318,-21.61,-21.61,1780654040898,522219965.0,115576,141146,0,7.81,9.12,1.32,0.00,522219973.0,522219965.0,27,14,0,0,0.00,0,fallback
9,1780654041999,1780654041642,192.168.35.220:58318,-21.63,-21.63,1780654041404,522219965.0,139822,165286,0,6.90,8.03,1.13,0.00,522219973.0,522219965.0,27,14,0,0,0.00,0,fallback
10,1780654042170,1780654041844,192.168.35.220:58318,0.00,0.00,1780654041908,522219965.0,163990,174965,0,0.00,0.00,0.00,0.00,522219966.0,522219965.0,15,14,0,0,0.00,0,anchor_set
11,1780654042602,1780654042197,192.168.35.220:58318,-0.06,-10.28,1780654041908,522219965.0,163990,192456,0,6.42,7.74,1.32,1.26,522219966.0,522219965.0,15,14,0,0,0.00,0,drift
12,1780654043068,1780654042702,192.168.35.220:58318,-1.41,-10.28,1780654042916,522219965.0,212372,216759,0,6.36,9.03,2.68,1.26,522219966.0,522219965.0,15,14,0,0,0.00,0,drift
13,1780654043575,1780654043208,192.168.35.220:58318,0.75,-10.29,1780654043420,522219965.0,236581,240960,0,6.72,7.23,0.52,1.26,522219966.0,522219965.0,15,14,0,0,0.00,0,drift
14,1780654044064,1780654043713,192.168.35.220:58318,0.08,-10.28,1780654043926,522219965.0,260853,265216,0,6.39,7.57,1.18,1.26,522219966.0,522219965.0,15,14,0,0,0.00,0,drift
15,1780654044268,1780654043916,192.168.35.220:58318,-0.09,0.00,1780654043926,522219965.0,260853,274969,0,0.00,0.00,0.00,0.00,522219966.0,522219965.0,15,14,0,0,0.00,0,anchor_realign_periodic
16,1780654044564,1780654044219,192.168.35.220:58318,1.29,-30.21,1780654044430,522219965.0,285027,288476,0,8.03,8.10,0.06,1.35,522219966.0,522219965.0,15,14,0,0,0.00,0,drift
17,1780654045065,1780654044726,192.168.35.220:58318,1.22,-32.21,1780654044935,522219965.0,309297,312797,0,7.64,7.77,0.13,1.35,522219966.0,522219965.0,15,14,0,0,0.00,0,drift
18,1780654045575,1780654045230,192.168.35.220:58318,-0.98,-32.20,1780654045438,522219965.0,333467,337073,0,7.20,9.52,2.33,1.35,522219966.0,522219965.0,15,14,0,0,0.00,0,drift
19,1780654046114,1780654045736,192.168.35.220:58318,0.24,-32.22,1780654045944,522219965.0,357720,361267,0,6.45,7.56,1.11,1.35,522219966.0,522219965.0,15,14,0,0,0.00,0,drift
20,1780654046264,1780654045938,192.168.35.220:58318,-1.42,0.00,1780654045944,522219964.9,357720,370999,0,0.00,0.00,0.00,0.00,522219964.0,522219964.0,12,12,0,0,0.00,0,anchor_realign_periodic
21,1780654046581,1780654046241,192.168.35.220:58318,2.96,-8.63,1780654046450,522219964.9,382058,386627,0,7.51,7.43,-0.08,1.88,522219964.0,522219964.0,12,12,0,0,0.00,0,drift
22,1780654047173,1780654046798,192.168.35.220:58318,1.34,-8.66,1780654046856,522219964.9,401520,413413,0,6.94,8.47,1.53,1.88,522219964.0,522219964.0,12,12,0,0,0.00,0,drift
23,1780654047673,1780654047304,192.168.35.220:58318,0.64,-8.63,1780654047362,522219964.9,425767,437695,0,6.13,8.36,2.23,1.88,522219964.0,522219964.0,12,12,0,0,0.00,0,drift
