seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,decode_load_ms,decode_total_frames,decode_throughput_fpms,seek_msg_seq,event
0,1780657938297,0,host,0.00,0.00,1780657938297,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,142,34561152,243388.39,0,decode_load
1,1780657947473,0,host,0.00,0.00,1780657947203,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,host_play
2,1780657962174,0,192.168.35.220:36882,0.00,0.00,1780657962174,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,148,34561152,233521.30,0,decode_load
3,1780657962327,1780657962001,192.168.35.220:36882,0.00,0.00,1780657961894,522219970.0,692294,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,guest_start
4,1780657962389,1780657962056,192.168.35.220:36882,-14850.02,-14850.02,1780657961894,522219970.0,692294,2572,0,6.74,7.55,0.81,0.00,0.0,0.0,0,0,0,0,0.00,0,fallback
5,1780657962883,1780657962553,192.168.35.220:36882,0.00,0.00,1780657962298,522219970.0,711673,738374,0,0.00,0.00,0.00,0.00,522219970.0,522219970.0,15,14,0,0,0.00,0,anchor_set
6,1780657962982,1780657962648,192.168.35.220:36882,0.02,-7.39,1780657962298,522219970.0,711673,743483,0,6.46,7.56,1.10,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
7,1780657963583,1780657963213,192.168.35.220:36882,1.06,-7.38,1780657963310,522219970.0,760295,770552,0,7.43,7.49,0.06,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
8,1780657964079,1780657963719,192.168.35.220:36882,-1.18,-7.39,1780657963817,522219970.0,784552,794916,0,6.76,9.07,2.30,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
9,1780657964599,1780657964223,192.168.35.220:36882,0.78,-7.36,1780657964322,522219970.0,808836,819059,0,6.71,7.05,0.34,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
10,1780657965083,1780657964727,192.168.35.220:36882,-0.57,-7.35,1780657964828,522219970.0,833165,843309,0,7.56,9.24,1.69,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
11,1780657965580,1780657965232,192.168.35.220:36882,0.68,-7.36,1780657965332,522219970.0,857349,867481,0,7.39,7.83,0.44,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
12,1780657966086,1780657965735,192.168.35.220:36882,-0.56,-7.34,1780657965838,522219970.0,881660,891708,0,7.89,9.57,1.68,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
13,1780657966606,1780657966240,192.168.35.220:36882,-4.35,-9.37,1780657966342,522219970.0,905786,915871,0,4.50,7.97,3.47,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
14,1780657967089,1780657966744,192.168.35.220:36882,0.26,-7.38,1780657966848,522219970.0,930082,940041,0,6.65,7.51,0.86,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
15,1780657967578,1780657967249,192.168.35.220:36882,0.29,-7.39,1780657967354,522219970.0,954374,964283,0,6.73,7.57,0.83,1.12,522219970.0,522219970.0,15,14,0,0,0.00,0,drift
16,1780657968079,1780657967753,192.168.35.220:36882,-7.36,-7.36,1780657967860,522219970.0,978653,988526,0,6.56,8.61,2.05,0.00,522219970.0,522219970.0,15,14,0,0,0.00,0,fallback
17,1780657968699,1780657968310,192.168.35.220:36882,-7.36,-7.36,1780657968362,522219970.0,1002755,1015227,0,6.68,7.88,1.20,0.00,522219970.0,522219970.0,15,14,0,0,0.00,0,fallback
18,1780657969206,1780657968815,192.168.35.220:36882,1.23,-5.50,1780657968868,522219970.0,1027004,1039455,0,7.75,7.64,-0.11,1.12,522219970.0,522219970.0,8,8,0,0,0.00,0,drift
19,1780657969718,1780657969320,192.168.35.220:36882,-0.38,-7.36,1780657969372,522219970.0,1051210,1063697,0,6.17,7.67,1.50,1.12,522219970.0,522219970.0,8,8,0,0,0.00,0,drift
20,1780657970190,1780657969824,192.168.35.220:36882,-0.47,-7.37,1780657969877,522219970.0,1075469,1087960,0,7.56,9.15,1.59,1.12,522219976.0,522219970.0,25,8,0,0,0.00,0,drift
21,1780657970680,1780657970329,192.168.35.220:36882,0.67,-7.37,1780657970382,522219970.0,1099726,1112162,0,6.90,7.36,0.45,1.12,522219976.0,522219970.0,25,8,0,0,0.00,0,drift
22,1780657971215,1780657970836,192.168.35.220:36882,-2.30,-9.36,1780657970887,522219970.0,1123970,1136453,0,6.00,7.43,1.42,1.12,522219972.0,522219970.0,15,8,0,0,0.00,0,drift
23,1780657971680,1780657971340,192.168.35.220:36882,-0.78,-7.34,1780657971392,522219970.0,1148181,1160688,0,6.41,8.31,1.90,1.12,522219972.0,522219970.0,15,8,0,0,0.00,0,drift
24,1780657972185,1780657971846,192.168.35.220:36882,-0.17,-7.52,1780657971898,522219970.0,1172498,1184967,0,6.84,8.13,1.29,1.12,522219968.0,522219970.0,21,8,0,0,0.00,0,drift
25,1780657972679,1780657972352,192.168.35.220:36882,0.70,-8.21,1780657972300,522219970.0,1191813,1209247,0,7.38,7.80,0.42,1.12,522219968.0,522219970.0,21,8,0,0,0.00,0,drift
