seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,decode_load_ms,decode_total_frames,decode_throughput_fpms,seek_msg_seq,guest_decode_under_frames,guest_decode_under_events,guest_st_under_frames,guest_st_under_events,host_decode_under_frames,host_decode_under_events,host_st_under_frames,host_st_under_events,event
0,1781079677524,0,host,0.00,0.00,1781079677524,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,104,34561152,332318.77,0,0,0,0,0,0,0,0,0,decode_load
1,1781080195454,0,host,0.00,0.00,1781080195454,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,172,86401152,502332.28,0,0,0,0,0,0,0,0,0,decode_load
2,1781080198289,0,host,0.00,0.00,1781080197957,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,host_play
3,1781080206664,0,host,0.00,0.00,1781080206547,0.0,396786,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,host_pause
4,1781080207711,0,host,0.00,0.00,1781080207662,0.0,161952,3374,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,1,0,0,0,0,0,0,0,0,host_seek
5,1781080207862,0,host,0.00,0.00,1781080207860,0.0,161952,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,2,0,0,0,0,0,0,0,0,host_seek
6,1781080208010,0,host,0.00,0.00,1781080207960,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,3,0,0,0,0,0,0,0,0,host_seek
7,1781080318010,0,192.168.35.209:50762,0.00,0.00,1781080318010,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,4,86400000,21600000.00,0,0,0,0,0,0,0,0,0,decode_load
8,1781080320871,0,host,0.00,0.00,1781080320856,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,1,0,0,0,0,0,0,0,0,host_tempo
9,1781080320896,0,host,0.00,0.00,1781080320856,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,2,0,0,0,0,0,0,0,0,host_tempo
10,1781080320915,0,host,0.00,0.00,1781080320856,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,3,0,0,0,0,0,0,0,0,host_tempo
11,1781080320927,0,host,0.00,0.00,1781080320856,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,4,0,0,0,0,0,0,0,0,host_tempo
12,1781080320941,0,host,0.00,0.00,1781080320856,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,5,0,0,0,0,0,0,0,0,host_tempo
13,1781080320945,0,host,0.00,0.00,1781080320856,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,6,0,0,0,0,0,0,0,0,host_tempo
14,1781080320958,1781080320833,192.168.35.239:42808,0.00,0.00,0,1134508112.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,1,0,0,0,0,0,0,0,0,guest_tempo_recv
15,1781080320960,0,host,0.00,0.00,1781080320959,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,7,0,0,0,0,0,0,0,0,host_tempo
16,1781080320960,0,host,0.00,0.00,1781080320959,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,8,0,0,0,0,0,0,0,0,host_tempo
17,1781080320974,1781080320869,192.168.35.239:42808,0.00,0.00,0,1134508112.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,2,0,0,0,0,0,0,0,0,guest_tempo_recv
18,1781080320974,1781080320870,192.168.35.239:42808,0.00,0.00,0,1134508112.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,3,0,0,0,0,0,0,0,0,guest_tempo_recv
19,1781080320974,1781080320870,192.168.35.239:42808,0.00,0.00,0,1134508112.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,4,0,0,0,0,0,0,0,0,guest_tempo_recv
20,1781080320974,1781080320870,192.168.35.239:42808,0.00,0.00,0,1134508112.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,5,0,0,0,0,0,0,0,0,guest_tempo_recv
21,1781080320974,1781080320870,192.168.35.239:42808,0.00,0.00,0,1134508112.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,6,0,0,0,0,0,0,0,0,guest_tempo_recv
