wall_ms,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
1777348100367,192.168.35.90:57854,-379.33,-379.33,1777348098144,-1832.1,0,512,0,fallback
1777348100906,192.168.35.90:57854,-1.32,-9.53,1777348098820,-1832.1,18432,29829,0,drift
1777348101407,192.168.35.90:57854,-2.15,-6.70,1777348099324,-1832.2,40416,51845,0,drift
1777348101909,192.168.35.90:57854,-3.31,-10.41,1777348099823,-1832.2,62688,74117,0,drift
1777348102506,192.168.35.90:57854,0.23,-1.81,1777348100326,-1832.0,84672,100485,0,drift
1777348103007,192.168.35.90:57854,-1.23,-47.62,1777348100782,-1832.0,106656,122501,0,drift
1777348103509,192.168.35.90:57854,-4.45,-47.03,1777348101287,-1832.0,128640,144517,0,drift
1777348104106,192.168.35.90:57854,-0.37,-38.89,1777348101793,-1831.8,150816,170885,0,drift
1777348104607,192.168.35.90:57854,-3.04,-40.99,1777348102299,-1831.8,173280,193157,0,drift
1777348105109,192.168.35.90:57854,-3.64,-31.17,1777348102804,-1831.8,194976,215173,0,drift
1777348105706,192.168.35.90:57854,-2.24,-19.22,1777348103310,-1831.8,216864,241541,0,drift
1777348106208,192.168.35.90:57854,-2.61,-17.64,1777348103815,-1831.8,238944,263557,0,drift
1777348118208,192.168.35.90:57854,-2.04,-10.93,1777348115919,-1831.9,465120,485430,0,drift
1777348118709,192.168.35.90:57854,-4.39,-11.05,1777348116424,-1831.9,487200,507446,0,drift
1777348119306,192.168.35.90:57854,2.11,-42.11,1777348117388,-1831.9,531360,533814,0,drift
1777348119807,192.168.35.90:57854,0.93,-40.92,1777348117893,-1831.9,553440,555830,0,drift
1777348120309,192.168.35.90:57854,-1.24,-31.97,1777348118398,-1831.9,575424,578102,0,drift
1777348120810,192.168.35.90:57854,-2.92,-31.78,1777348118903,-1831.9,597504,600118,0,drift
1777348121407,192.168.35.90:57854,-3.23,-26.58,1777348119408,-1832.0,619584,626486,0,drift
1777348121909,192.168.35.90:57854,-3.52,-22.13,1777348119914,-1832.0,641568,648502,0,drift
1777348122410,192.168.35.90:57854,0.04,-17.13,1777348120418,-1832.0,663648,670518,0,drift
1777348123008,192.168.35.90:57854,-2.54,-7.01,1777348120923,-1832.0,685632,697142,0,drift
1777348123599,192.168.35.90:57854,0.36,-0.53,1777348121429,-1832.0,707808,723254,0,drift
1777348124112,192.168.35.90:57854,-0.88,-54.37,1777348121882,-1832.0,729792,745526,0,drift
1777348124618,192.168.35.90:57854,-3.15,-48.02,1777348122385,-1832.0,751776,768054,0,drift
1777348129269,192.168.35.90:57854,-2.75,-72.13,1777348127121,-1832.0,856608,868030,0,drift
1777348129807,192.168.35.90:57854,-3.34,-65.60,1777348127626,-1832.0,878688,891838,0,drift
1777348131210,192.168.35.90:57854,-0.33,-3.04,1777348128132,-1832.0,2970571,3026113,0,drift
1777348136506,192.168.35.90:57854,3.97,1.04,1777348134100,-1832.0,4112771,4138743,0,drift
