wall_ms,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
1777347440511,192.168.35.90:57842,-583.78,-583.78,1777347438098,-1817.6,0,512,0,fallback
1777347441023,192.168.35.90:57842,4.96,-24.14,1777347438790,-1818.7,21504,39251,0,drift
1777347441524,192.168.35.90:57842,2.40,-21.43,1777347439295,-1818.7,43488,61267,0,drift
1777347442026,192.168.35.90:57842,2.88,-44.97,1777347439770,-1819.8,65664,83539,0,drift
1777347442623,192.168.35.90:57842,6.12,-36.85,1777347440276,-1820.8,87744,109907,0,drift
1777347443124,192.168.35.90:57842,4.08,-32.29,1777347440780,-1820.8,109632,131923,0,drift
1777347443626,192.168.35.90:57842,2.56,-33.56,1777347441283,-1821.7,131712,153939,0,drift
1777347444127,192.168.35.90:57842,1.93,-26.30,1777347441788,-1821.7,153792,176211,0,drift
1777347444628,192.168.35.90:57842,8.82,-22.88,1777347442294,-1822.5,175872,197971,0,drift
1777347445226,192.168.35.90:57842,5.09,-14.97,1777347442799,-1822.5,197952,224595,0,drift
1777347445728,192.168.35.90:57842,3.56,-59.41,1777347443758,-1823.3,242016,246611,0,drift
1777347446324,192.168.35.90:57842,7.18,-47.06,1777347444264,-1823.3,264000,272979,0,drift
1777347446826,192.168.35.90:57842,-2.27,-5.01,1777347444770,-1824.0,286176,296849,0,drift
1777347447327,192.168.35.90:57842,-5.37,-1.64,1777347445276,-1824.0,308160,318865,0,drift
1777347447924,192.168.35.90:57842,-1.17,9.47,1777347445781,-1824.6,330144,345233,0,drift
1777347448426,192.168.35.90:57842,-2.25,4.96,1777347446285,-1824.6,352416,367249,0,drift
1777347448927,192.168.35.90:57842,-4.04,15.97,1777347446790,-1825.1,374304,389521,0,drift
1777347449524,192.168.35.90:57842,-0.81,24.32,1777347447293,-1825.1,396288,415889,0,drift
1777347450026,192.168.35.90:57842,-1.01,24.64,1777347447797,-1825.6,418368,437905,0,drift
1777347450528,192.168.35.90:57842,-4.05,-25.08,1777347448253,-1825.6,440448,459921,0,drift
1777347451124,192.168.35.90:57842,-0.35,-20.25,1777347448253,-1826.0,440448,486289,0,drift
1777347451626,192.168.35.90:57842,0.35,-8.21,1777347449262,-1826.4,484608,508561,0,drift
1777347452127,192.168.35.90:57842,-1.88,-7.64,1777347449768,-1826.4,506688,530577,0,drift
1777347452724,192.168.35.90:57842,0.88,6.94,1777347450778,-1826.8,550752,556945,0,drift
1777347453226,192.168.35.90:57842,-0.67,6.00,1777347451282,-1826.8,572832,578961,0,drift
1777347453727,192.168.35.90:57842,-3.00,13.38,1777347451788,-1827.1,594912,601233,0,drift
1777347454324,192.168.35.90:57842,2.27,18.90,1777347452293,-1827.1,616896,627345,0,drift
1777347454826,192.168.35.90:57842,0.10,23.03,1777347452796,-1827.4,638976,649617,0,drift
1777347455327,192.168.35.90:57842,-0.25,21.03,1777347453299,-1827.4,661152,671633,0,drift
1777347455924,192.168.35.90:57842,1.07,-19.24,1777347453753,-1827.7,683040,698001,0,drift
1777347456426,192.168.35.90:57842,1.16,-17.72,1777347454258,-1827.7,705120,720017,0,drift
1777347456927,192.168.35.90:57842,-0.60,-9.33,1777347454762,-1827.9,727104,742289,0,drift
1777347457524,192.168.35.90:57842,3.30,0.54,1777347455269,-1827.9,749184,768657,0,drift
1777347458026,192.168.35.90:57842,1.51,1.13,1777347455772,-1828.1,771168,790673,0,drift
1777347458527,192.168.35.90:57842,-1.68,-1.03,1777347456277,-1828.1,793344,812689,0,drift
1777347459124,192.168.35.90:57842,3.33,13.27,1777347456783,-1828.3,815232,839057,0,drift
1777347459626,192.168.35.90:57842,-0.06,16.75,1777347457288,-1828.5,837408,861329,0,drift
1777347460127,192.168.35.90:57842,-0.86,16.02,1777347457791,-1828.5,859488,883345,0,drift
1777347460725,192.168.35.90:57842,1.27,24.93,1777347458296,-1828.6,881472,909713,0,drift
1777347461226,192.168.35.90:57842,1.18,-17.25,1777347459257,-1828.6,925632,931729,0,drift
1777347461727,192.168.35.90:57842,1.64,-8.17,1777347459763,-1828.8,947712,954001,0,drift
1777347462325,192.168.35.90:57842,2.71,-0.19,1777347460268,-1828.8,969696,980369,0,drift
1777347462826,192.168.35.90:57842,1.96,2.40,1777347460774,-1828.9,991776,1002385,0,drift
1777347463375,192.168.35.90:57842,0.85,8.25,1777347461279,-1828.9,1013856,1026705,0,drift
1777347463924,192.168.35.90:57842,0.16,-10.40,1777347461784,-1829.0,1035840,1049693,0,drift
1777347464426,192.168.35.90:57842,-3.02,-4.81,1777347462289,-1829.0,1057920,1071965,0,drift
1777347464927,192.168.35.90:57842,-4.10,-3.42,1777347462792,-1829.1,1079904,1093981,0,drift
1777347465429,192.168.35.90:57842,-1.55,-2.55,1777347463299,-1829.1,1101984,1115741,0,drift
1777347466026,192.168.35.90:57842,-1.50,-43.49,1777347463752,-1829.2,1124064,1142365,0,drift
1777347466527,192.168.35.90:57842,-2.97,-35.90,1777347464258,-1829.2,1146144,1164637,0,drift
1777347467029,192.168.35.90:57842,-0.34,-32.88,1777347464763,-1829.3,1168032,1186397,0,drift
1777347467626,192.168.35.90:57842,0.78,-24.25,1777347465268,-1829.3,1190208,1213021,0,drift
1777347468127,192.168.35.90:57842,-2.71,-25.40,1777347465774,-1829.3,1212384,1235037,0,drift
1777347468629,192.168.35.90:57842,-5.70,-17.35,1777347466280,-1829.4,1234368,1257309,0,drift
1777347469226,192.168.35.90:57842,0.62,-6.92,1777347467290,-1829.4,1278432,1283421,0,drift
1777347469728,192.168.35.90:57842,-0.78,-4.77,1777347467290,-1829.5,1278432,1305693,0,drift
1777347470229,192.168.35.90:57842,-4.34,-48.87,1777347468248,-1829.5,1322400,1327709,0,drift
1777347470826,192.168.35.90:57842,-2.52,-42.33,1777347468752,-1829.5,1344480,1354077,0,drift
1777347471327,192.168.35.90:57842,-2.09,-42.52,1777347469256,-1829.5,1366656,1376093,0,drift
1777347471828,192.168.35.90:57842,1.81,-32.06,1777347469762,-1829.6,1388544,1398109,0,drift
1777347472426,192.168.35.90:57842,-0.39,-26.37,1777347470266,-1829.6,1410720,1424733,0,drift
1777347472927,192.168.35.90:57842,-3.51,-25.39,1777347470772,-1829.5,1432800,1446749,0,drift
1777347473429,192.168.35.90:57842,-3.54,-20.36,1777347471278,-1829.5,1454784,1468765,0,drift
1777347474026,192.168.35.90:57842,-3.18,-13.41,1777347471783,-1829.5,1476768,1495133,0,drift
1777347474527,192.168.35.90:57842,-4.39,-7.20,1777347472289,-1829.5,1498944,1517405,0,drift
1777347475028,192.168.35.90:57842,1.43,-1.74,1777347472795,-1829.5,1520928,1539165,0,drift
1777347475626,192.168.35.90:57842,-0.94,5.21,1777347473299,-1829.6,1543008,1565789,0,drift
1777347476127,192.168.35.90:57842,-2.49,-45.84,1777347473752,-1829.6,1565088,1587805,0,drift
1777347476629,192.168.35.90:57842,1.50,-35.66,1777347474259,-1829.6,1587072,1609821,0,drift
1777347477226,192.168.35.90:57842,-1.00,-20.86,1777347475271,-1829.6,1631232,1636445,0,drift
1777347477728,192.168.35.90:57842,-2.20,-21.65,1777347475775,-1829.6,1653312,1658461,0,drift
1777347478324,192.168.35.90:57842,-0.60,-9.89,1777347476280,-1829.6,1675200,1684829,0,drift
1777347478826,192.168.35.90:57842,-1.77,-13.88,1777347476280,-1829.7,1675200,1706845,0,drift
1777347479327,192.168.35.90:57842,-1.45,-1.67,1777347477289,-1829.7,1719360,1729117,0,drift
