seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
0,1777371916838,0,host,0.00,0.00,1777371916407,0.0,0,0,0,host_play
1,1777371917049,1777371917198,192.168.35.90:58292,0.00,0.00,1777371916407,-306.9,0,0,0,guest_start
2,1777371917082,1777371917380,192.168.35.90:58292,-654.53,-654.53,1777371916407,-306.9,0,512,0,fallback
3,1777371917567,1777371917894,192.168.35.90:58292,306.08,306.08,1777371917295,-306.9,20256,47297,0,fallback
4,1777371918067,1777371918395,192.168.35.90:58292,308.56,308.56,1777371917799,-309.7,42336,69313,0,fallback
5,1777371918825,1777371918897,192.168.35.90:58292,-25.78,-25.78,1777371917799,-309.7,42336,76723,0,fallback
6,1777371919506,1777371919398,192.168.35.90:58292,-23.38,-23.38,1777371917799,-309.7,42336,98739,0,fallback
7,1777371919670,1777371919995,192.168.35.90:58292,-18.61,-18.61,1777371919304,-312.2,108576,125107,0,fallback
8,1777371920172,1777371920497,192.168.35.90:58292,-18.76,-18.76,1777371919760,-314.5,130464,149003,0,fallback
9,1777371920770,1777371921094,192.168.35.90:58292,-13.60,-13.60,1777371920264,-314.5,152640,175371,0,fallback
10,1777371921281,1777371921595,192.168.35.90:58292,-9.47,-9.47,1777371920768,-316.5,174624,197387,0,fallback
11,1777371921771,1777371922097,192.168.35.90:58292,-23.54,-23.54,1777371921274,-318.4,197472,219403,0,fallback
12,1777371922380,1777371922695,192.168.35.90:58292,-2.17,-2.17,1777371921779,-318.4,218880,245771,0,fallback
13,1777371922870,1777371923195,192.168.35.90:58292,17.64,17.64,1777371922789,-320.0,262752,268043,0,fallback
14,1777371923381,1777371923697,192.168.35.90:58292,13.68,13.68,1777371922789,-320.0,262752,290059,0,fallback
15,1777371923872,1777371924198,192.168.35.90:58292,28.49,28.49,1777371923801,-321.5,306912,312075,0,fallback
16,1777371924481,1777371924795,192.168.35.90:58292,-67.69,-67.69,1777371924257,-321.5,328992,336233,0,fallback
17,1777371924971,1777371925297,192.168.35.90:58292,-58.24,-58.24,1777371924762,-323.1,350976,358505,0,fallback
18,1777371925572,1777371925894,192.168.35.90:58292,-53.85,-53.85,1777371925266,-323.1,373152,384873,0,fallback
19,1777371925789,1777371926097,192.168.35.90:58292,0.00,0.00,1777371925266,-324.5,373152,393833,0,anchor_set
