seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
0,1777352619463,0,host,0.00,0.00,1777352619072,0.0,0,0,0,host_state_sync_sent
1,1777352619464,0,host,0.00,0.00,1777352619072,0.0,0,0,0,host_play
2,1777352619584,1777352621254,192.168.35.90:57896,0.00,0.00,1777352619072,-1863.1,0,0,0,guest_start
3,1777352619609,1777352621254,192.168.35.90:57896,0.00,0.00,1777352619072,-1863.1,0,0,0,host_state_sync_recv
4,1777352619610,1777352621438,192.168.35.90:57896,-491.31,-491.31,1777352619072,-1863.1,0,512,0,fallback
5,1777352620121,1777352621949,192.168.35.90:57896,106.28,106.28,1777352619866,-1863.1,18240,33187,0,fallback
6,1777352620617,1777352622451,192.168.35.90:57896,110.15,110.15,1777352620369,-1861.3,40224,55459,0,fallback
7,1777352621232,1777352622951,192.168.35.90:57896,-23.02,-23.02,1777352620369,-1861.3,40224,71718,0,fallback
8,1777352621619,1777352623453,192.168.35.90:57896,-72.50,-72.50,1777352621323,-1859.5,84288,93734,0,fallback
9,1777352622216,1777352624050,192.168.35.90:57896,-17.50,-17.50,1777352621826,-1859.5,106368,122327,0,fallback
10,1777352622718,1777352624551,192.168.35.90:57896,-8.61,-8.61,1777352622331,-1858.1,128352,144599,0,fallback
11,1777352623220,1777352625053,192.168.35.90:57896,-10.39,-10.39,1777352622837,-1858.1,150528,166615,0,fallback
12,1777352623721,1777352625554,192.168.35.90:57896,-7.15,-7.15,1777352623341,-1856.8,172512,188631,0,fallback
13,1777352624316,1777352626151,192.168.35.90:57896,2.67,2.67,1777352623847,-1856.8,194496,214999,0,fallback
14,1777352624528,1777352626349,192.168.35.90:57896,0.00,0.00,1777352624353,-1855.5,216576,223703,0,anchor_set
15,1777352624819,1777352626653,192.168.35.90:57896,-3.04,-17.23,1777352624353,-1855.5,216576,236141,0,drift
16,1777352625415,1777352627250,192.168.35.90:57896,-0.98,-9.84,1777352624858,-1855.5,238656,262509,0,drift
17,1777352625970,1777352627751,192.168.35.90:57896,-3.45,-10.11,1777352625363,-1854.4,260736,284525,0,drift
18,1777352626418,1777352628253,192.168.35.90:57896,-4.13,-6.89,1777352625868,-1854.4,282720,306541,0,drift
19,1777352626530,1777352628349,192.168.35.90:57896,-49.38,-49.38,1777352626321,-1853.3,304800,312750,1,corrective_seek_small
20,1777352626916,1777352628754,192.168.35.90:57896,23.20,-28.97,1777352626321,-1853.3,304800,329646,1,drift
21,1777352627516,1777352629351,192.168.35.90:57896,17.55,-21.06,1777352627332,-1852.4,348864,356014,1,drift
22,1777352628019,1777352629853,192.168.35.90:57896,16.18,-13.75,1777352627838,-1852.4,370944,378286,1,drift
23,1777352628517,1777352630354,192.168.35.90:57896,20.57,-17.29,1777352627838,-1851.5,370944,400046,1,drift
24,1777352629115,1777352630951,192.168.35.90:57896,19.97,-0.50,1777352628851,-1851.5,415104,426670,1,drift
25,1777352629520,1777352631351,192.168.35.90:57896,20.86,5.18,1777352629356,-1850.8,437088,444130,2,corrective_seek_small
26,1777352629616,1777352631453,192.168.35.90:57896,8.16,-8.43,1777352629356,-1850.8,437088,448226,2,drift
27,1777352630216,1777352632050,192.168.35.90:57896,9.67,-1.64,1777352629861,-1850.8,459168,474594,2,drift
28,1777352630716,1777352632551,192.168.35.90:57896,9.66,0.00,1777352630365,-1850.1,481152,496866,2,anchor_reset_offset_drift
29,1777352632621,1777352634450,192.168.35.90:57896,9.66,0.00,1777352632336,-1849.0,569472,580578,2,anchor_set
30,1777352632715,1777352634551,192.168.35.90:57896,-1.37,-9.73,1777352632336,-1849.0,569472,585846,2,drift
31,1777352633219,1777352635053,192.168.35.90:57896,-2.16,-1.95,1777352632842,-1849.0,591552,608118,2,drift
32,1777352633818,1777352635650,192.168.35.90:57896,-3.29,6.43,1777352633346,-1848.5,613440,634486,2,drift
33,1777352634319,1777352636151,192.168.35.90:57896,-1.42,11.72,1777352633853,-1848.5,635520,656502,2,drift
34,1777352634818,1777352636653,192.168.35.90:57896,-4.80,11.60,1777352634359,-1848.0,657600,678518,2,drift
35,1777352635320,1777352637154,192.168.35.90:57896,-2.05,20.43,1777352634865,-1848.0,679584,700534,2,drift
36,1777352635919,1777352637751,192.168.35.90:57896,-5.08,-21.72,1777352635320,-1847.6,701664,727158,2,drift
37,1777352636416,1777352638253,192.168.35.90:57896,-5.65,-22.67,1777352635825,-1847.6,723840,749174,2,drift
38,1777352637017,1777352638850,192.168.35.90:57896,-1.88,-7.52,1777352636836,-1847.2,767904,775542,2,drift
39,1777352637517,1777352639352,192.168.35.90:57896,-4.09,-11.74,1777352636836,-1846.9,767904,797558,2,drift
40,1777352638017,1777352639853,192.168.35.90:57896,-5.46,0.40,1777352637845,-1846.9,811968,819830,2,drift
41,1777352638519,1777352640354,192.168.35.90:57896,-4.58,4.73,1777352638351,-1846.5,834048,841846,2,drift
42,1777352639117,1777352640951,192.168.35.90:57896,-4.18,12.27,1777352638856,-1846.5,856032,868214,2,drift
43,1777352639617,1777352641453,192.168.35.90:57896,-5.39,12.79,1777352639361,-1846.2,878112,890230,2,drift
44,1777352640218,1777352642051,192.168.35.90:57896,-4.23,20.09,1777352639865,-1846.2,900096,916598,2,drift
45,1777352640718,1777352642551,192.168.35.90:57896,-4.71,17.98,1777352639865,-1846.2,900096,938614,2,drift
46,1777352641216,1777352643053,192.168.35.90:57896,-6.31,22.99,1777352640369,-1845.9,922176,960886,2,drift
47,1777352641818,1777352643650,192.168.35.90:57896,-3.75,-14.67,1777352641327,-1845.6,966240,987254,2,drift
48,1777352642316,1777352644151,192.168.35.90:57896,-3.84,-14.65,1777352641832,-1845.6,988416,1009270,2,drift
49,1777352642865,1777352644653,192.168.35.90:57896,-5.42,-18.75,1777352641832,-1845.6,988416,1031286,2,drift
50,1777352643455,1777352645250,192.168.35.90:57896,-3.30,-3.72,1777352642841,-1845.3,1032384,1057654,2,drift
51,1777352643921,1777352645751,192.168.35.90:57896,-4.93,0.57,1777352643346,-1845.1,1054560,1079926,2,drift
52,1777352644416,1777352646253,192.168.35.90:57896,-8.67,0.05,1777352643851,-1845.1,1076640,1101942,2,drift
53,1777352645017,1777352646850,192.168.35.90:57896,-3.88,14.98,1777352644861,-1844.9,1120704,1128310,2,drift
54,1777352645517,1777352647351,192.168.35.90:57896,-5.20,18.22,1777352645368,-1844.7,1142784,1150326,2,drift
55,1777352646018,1777352647853,192.168.35.90:57896,-9.20,-26.08,1777352645822,-1844.7,1164768,1172598,2,drift
56,1777352646526,1777352648354,192.168.35.90:57896,-10.18,-28.87,1777352645822,-1844.7,1164768,1194614,2,drift
57,1777352646527,1777352648354,192.168.35.90:57896,-28.87,-28.87,1777352646327,-1844.7,1186752,1195507,3,corrective_seek_small
58,1777352647119,1777352648952,192.168.35.90:57896,8.03,-1.82,1777352646833,-1844.5,1208928,1221619,3,drift
59,1777352647616,1777352649453,192.168.35.90:57896,7.63,0.50,1777352647338,-1844.4,1231008,1243635,3,drift
60,1777352648125,1777352649955,192.168.35.90:57896,11.37,9.88,1777352647843,-1844.4,1252896,1265651,3,drift
61,1777352648718,1777352650552,192.168.35.90:57896,6.45,13.90,1777352648345,-1844.1,1274976,1292275,3,drift
62,1777352649221,1777352651053,192.168.35.90:57896,8.16,13.65,1777352648851,-1844.1,1297248,1314291,3,drift
63,1777352649810,1777352651560,192.168.35.90:57896,6.00,20.05,1777352649355,-1844.1,1319040,1336563,3,drift
64,1777352649843,1777352651677,192.168.35.90:57896,6.00,0.00,1777352649355,-1843.9,1319040,1341683,3,anchor_reset_offset_drift
65,1777352649921,1777352651751,192.168.35.90:57896,6.00,0.00,1777352649355,-1843.9,1319040,1345011,3,anchor_set
66,1777352650373,1777352652162,192.168.35.90:57896,-0.24,-4.94,1777352649355,-1843.9,1319040,1361970,3,drift
67,1777352650918,1777352652754,192.168.35.90:57896,-2.26,-6.62,1777352649860,-1843.7,1341312,1388082,3,drift
68,1777352651524,1777352653352,192.168.35.90:57896,0.33,-36.66,1777352651325,-1843.6,1407360,1414450,3,drift
69,1777352651564,1777352653352,192.168.35.90:57896,-36.66,-36.66,1777352651325,-1843.6,1407360,1415770,4,corrective_seek_small
70,1777352652023,1777352653854,192.168.35.90:57896,17.23,-23.50,1777352651830,-1843.6,1429440,1437018,4,drift
71,1777352652522,1777352654354,192.168.35.90:57896,16.39,-20.14,1777352651830,-1843.4,1429440,1459290,4,drift
72,1777352653121,1777352654951,192.168.35.90:57896,19.43,-11.25,1777352652840,-1843.4,1473504,1485402,4,drift
73,1777352653619,1777352655453,192.168.35.90:57896,17.03,-10.07,1777352652840,-1843.4,1473504,1507674,4,drift
74,1777352654122,1777352655954,192.168.35.90:57896,15.13,-5.54,1777352653849,-1843.4,1517664,1529690,4,drift
75,1777352654719,1777352656552,192.168.35.90:57896,16.89,1.10,1777352654352,-1843.5,1539648,1556058,4,drift
76,1777352655273,1777352657053,192.168.35.90:57896,16.59,4.57,1777352654857,-1843.5,1561632,1578074,4,drift
77,1777352655721,1777352657555,192.168.35.90:57896,21.56,8.11,1777352655361,-1843.7,1583808,1600090,4,drift
78,1777352656128,1777352657955,192.168.35.90:57896,20.38,15.26,1777352655865,-1843.7,1605696,1617561,5,corrective_seek_small
79,1777352656319,1777352658152,192.168.35.90:57896,7.68,2.34,1777352655865,-1843.7,1605696,1626009,5,drift
80,1777352656817,1777352658653,192.168.35.90:57896,7.63,5.10,1777352656370,-1843.8,1627776,1648025,5,drift
81,1777352657421,1777352659250,192.168.35.90:57896,9.33,-37.64,1777352656825,-1843.8,1649856,1674393,5,drift
82,1777352657920,1777352659751,192.168.35.90:57896,7.54,-34.69,1777352657330,-1843.9,1671840,1696409,5,drift
83,1777352658421,1777352660253,192.168.35.90:57896,8.21,-30.39,1777352657834,-1843.9,1694016,1718681,5,drift
84,1777352659018,1777352660850,192.168.35.90:57896,11.55,-15.44,1777352658844,-1844.0,1738080,1745049,5,drift
85,1777352659518,1777352661352,192.168.35.90:57896,6.52,-17.62,1777352659347,-1844.1,1760064,1767065,5,drift
86,1777352660560,1777352661853,192.168.35.90:57896,5.70,-20.00,1777352659347,-1844.1,1760064,1789081,5,drift
87,1777352660562,1777352662355,192.168.35.90:57896,9.86,-18.85,1777352659347,-1844.1,1760064,1811097,5,drift
88,1777352661118,1777352662952,192.168.35.90:57896,8.91,-1.25,1777352660862,-1844.2,1826304,1837721,5,drift
89,1777352661617,1777352663453,192.168.35.90:57896,7.51,3.44,1777352661368,-1844.3,1848288,1859737,5,drift
90,1777352662027,1777352663853,192.168.35.90:57896,-40.82,-40.82,1777352661824,-1844.3,1870368,1878557,6,corrective_seek_small
91,1777352662122,1777352663954,192.168.35.90:57896,27.05,-23.80,1777352661824,-1844.3,1870368,1882653,6,drift
92,1777352662719,1777352664552,192.168.35.90:57896,28.73,-16.27,1777352662330,-1844.4,1892448,1909021,6,drift
93,1777352663221,1777352665053,192.168.35.90:57896,26.52,-10.38,1777352662835,-1844.4,1914528,1931293,6,drift
94,1777352663722,1777352665555,192.168.35.90:57896,32.05,-9.34,1777352663339,-1844.4,1936608,1953053,6,drift
95,1777352664371,1777352666152,192.168.35.90:57896,28.16,2.19,1777352663844,-1844.4,1958496,1979677,6,drift
96,1777352664820,1777352666653,192.168.35.90:57896,28.32,5.50,1777352664351,-1844.4,1980576,2001693,6,drift
97,1777352665124,1777352666952,192.168.35.90:57896,28.80,13.90,1777352664856,-1844.4,2002656,2014626,7,corrective_seek_small
98,1777352665324,1777352667154,192.168.35.90:57896,12.37,-1.99,1777352664856,-1844.4,2002656,2023330,7,drift
99,1777352665936,1777352667752,192.168.35.90:57896,14.15,-5.36,1777352664856,-1844.4,2002656,2049442,7,drift
100,1777352666418,1777352668253,192.168.35.90:57896,13.32,9.24,1777352665867,-1843.8,2046720,2071714,7,drift
101,1777352666920,1777352668754,192.168.35.90:57896,16.83,-43.20,1777352666322,-1843.4,2068896,2093474,7,drift
102,1777352667470,1777352669256,192.168.35.90:57896,16.57,-32.41,1777352666828,-1843.4,2090880,2115746,7,drift
103,1777352668021,1777352669853,192.168.35.90:57896,13.04,-27.51,1777352667837,-1842.9,2135040,2142114,7,drift
104,1777352668369,1777352669955,192.168.35.90:57896,-26.66,-26.66,1777352667837,-1842.9,2135040,2147310,8,corrective_seek_small
105,1777352668621,1777352670450,192.168.35.90:57896,28.91,-10.44,1777352668342,-1842.5,2157024,2168814,8,drift
106,1777352669118,1777352670951,192.168.35.90:57896,24.73,-6.21,1777352668846,-1842.5,2179104,2191086,8,drift
107,1777352669635,1777352671454,192.168.35.90:57896,24.68,-0.68,1777352669354,-1842.2,2201088,2213102,8,drift
108,1777352670123,1777352671955,192.168.35.90:57896,30.06,3.72,1777352669858,-1842.2,2223264,2235118,8,drift
109,1777352670633,1777352672461,192.168.35.90:57896,27.79,11.84,1777352670364,-1841.9,2245344,2257646,8,drift
110,1777352671133,1777352672962,192.168.35.90:57896,26.43,14.72,1777352670869,-1841.9,2267328,2279662,8,drift
111,1777352671174,1777352672962,192.168.35.90:57896,26.43,14.72,1777352670869,-1841.9,2267328,2279335,9,corrective_seek_small
112,1777352671722,1777352673549,192.168.35.90:57896,15.51,-48.94,1777352671323,-1841.6,2289408,2304679,9,drift
113,1777352672221,1777352674050,192.168.35.90:57896,13.18,-41.18,1777352671828,-1841.6,2311392,2326951,9,drift
