seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
0,1777375979127,0,host,0.00,0.00,1777375978652,0.0,0,0,0,host_play
1,1777375979356,1777375979526,192.168.35.90:58336,0.00,0.00,1777375978652,-326.0,0,0,0,guest_start
2,1777375979385,1777375979694,192.168.35.90:58336,-704.35,-704.35,1777375978652,-326.0,0,512,0,fallback
3,1777375979888,1777375980224,192.168.35.90:58336,364.05,364.05,1777375979548,-327.6,18816,51030,0,fallback
4,1777375980487,1777375980822,192.168.35.90:58336,-19.04,-19.04,1777375980053,-327.6,40992,60310,0,fallback
5,1777375980991,1777375981323,192.168.35.90:58336,-41.27,-41.27,1777375980529,-329.1,62976,82326,0,fallback
6,1777375981488,1777375981824,192.168.35.90:58336,-19.60,-19.60,1777375981035,-329.1,85056,104981,0,fallback
7,1777375982092,1777375982422,192.168.35.90:58336,-6.62,-6.62,1777375981541,-330.4,107040,131605,0,fallback
8,1777375982598,1777375982923,192.168.35.90:58336,-10.04,-10.04,1777375982045,-330.4,129216,153621,0,fallback
9,1777375982800,1777375983120,192.168.35.90:58336,0.00,0.00,1777375982550,-331.5,151200,162325,0,anchor_set
10,1777375983088,1777375983424,192.168.35.90:58336,-4.13,-29.49,1777375982550,-331.5,151200,174573,0,drift
11,1777375983689,1777375984021,192.168.35.90:58336,1.45,-66.70,1777375983508,-331.5,195360,200941,0,drift
12,1777375984105,0,host,0.00,0.00,1777375984013,0.0,217248,0,0,host_pause
13,1777375984125,1777375984421,192.168.35.90:58336,1.19,0.00,1777375984013,-332.6,217248,218605,0,guest_stop
14,1777375984502,0,host,0.00,0.00,1777375984451,0.0,218784,0,0,host_play
15,1777375984562,1777375984825,192.168.35.90:58336,0.00,0.00,1777375984451,-332.6,218784,220397,0,guest_start
16,1777375985193,1777375985520,192.168.35.90:58336,0.00,0.00,1777375984957,-333.5,238848,248045,0,anchor_set
17,1777375985289,1777375985621,192.168.35.90:58336,-0.13,-14.30,1777375984957,-333.5,238848,253405,0,drift
18,1777375985788,1777375986123,192.168.35.90:58336,-0.46,-13.11,1777375985448,-334.4,260544,275677,0,drift
19,1777375985824,0,host,0.00,0.00,1777375985703,0.0,273792,0,0,host_seek
20,1777375985838,1777375986123,192.168.35.90:58336,-0.46,0.00,1777375985448,-334.4,260544,275677,0,anchor_reset_seek_notify
21,1777375986215,0,host,0.00,0.00,1777375986107,0.0,14496,0,0,host_pause
22,1777375986276,1777375986523,192.168.35.90:58336,-0.46,0.00,1777375986107,-334.4,14496,15360,0,guest_stop
23,1777375986820,0,host,0.00,0.00,1777375986753,0.0,16800,0,0,host_seek
24,1777375986834,1777375987126,192.168.35.90:58336,-0.46,0.00,1777375986107,-335.1,14496,17152,0,anchor_reset_seek_notify
25,1777375987470,0,host,0.00,0.00,1777375987353,0.0,0,0,0,host_play
26,1777375987538,1777375987725,192.168.35.90:58336,0.00,0.00,1777375987353,-335.1,0,0,0,guest_start
27,1777375987997,1777375988320,192.168.35.90:58336,0.00,0.00,1777375987960,-335.8,21600,20480,0,anchor_set
28,1777375988087,1777375988422,192.168.35.90:58336,-2.14,-16.48,1777375987960,-335.8,21600,27080,0,drift
29,1777375988588,1777375988923,192.168.35.90:58336,-3.89,-16.84,1777375988451,-335.8,43392,49352,0,drift
30,1777375989089,1777375989424,192.168.35.90:58336,2.26,-43.41,1777375988928,-336.4,65472,71112,0,drift
31,1777375989689,1777375990022,192.168.35.90:58336,-0.30,-32.01,1777375989434,-336.4,87456,97736,0,drift
32,1777375990188,1777375990523,192.168.35.90:58336,-0.99,-30.64,1777375989939,-337.1,109536,119752,0,drift
33,1777375990694,1777375991024,192.168.35.90:58336,3.11,-23.97,1777375990444,-337.1,131616,141768,0,drift
34,1777375991290,1777375991622,192.168.35.90:58336,-1.57,-13.75,1777375990950,-337.7,153600,168392,0,drift
35,1777375992007,1777375992123,192.168.35.90:58336,0.41,-61.86,1777375991404,-337.7,175680,190408,0,drift
36,1777375992288,1777375992625,192.168.35.90:58336,3.22,-61.89,1777375991910,-338.2,197760,212168,0,drift
37,1777375992888,1777375993221,192.168.35.90:58336,0.07,-50.52,1777375992415,-338.7,219744,238792,0,drift
38,1777375993391,1777375993723,192.168.35.90:58336,1.31,-43.76,1777375992919,-338.7,241824,261064,0,drift
39,1777375993891,1777375994224,192.168.35.90:58336,-0.34,-43.84,1777375993423,-339.2,263904,283080,0,drift
40,1777375994489,1777375994821,192.168.35.90:58336,1.39,-31.61,1777375994432,-339.2,307968,309448,0,drift
41,1777375994988,1777375995323,192.168.35.90:58336,1.69,-30.11,1777375994936,-339.7,330048,331464,0,drift
42,1777375995488,1777375995825,192.168.35.90:58336,5.49,-25.63,1777375995440,-339.7,352128,353480,0,drift
43,1777375996148,1777375996422,192.168.35.90:58336,2.99,-21.19,1777375995440,-340.1,352128,380104,0,drift
44,1777375996591,1777375996923,192.168.35.90:58336,1.10,-13.76,1777375996451,-340.1,396192,402120,0,drift
