seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
0,1777376062720,0,host,0.00,0.00,1777376062596,0.0,0,0,0,host_play
1,1777376062892,1777376063075,192.168.35.90:58340,0.00,0.00,1777376062596,-357.0,0,0,0,guest_start
2,1777376062981,1777376063235,192.168.35.90:58340,-270.36,-270.36,1777376062596,-357.0,0,512,0,fallback
3,1777376063462,1777376063772,192.168.35.90:58340,40.17,40.17,1777376063188,-357.0,21216,33683,0,fallback
4,1777376063982,1777376064274,192.168.35.90:58340,36.61,36.61,1777376063691,-355.7,43392,55699,0,fallback
5,1777376064441,1777376064775,192.168.35.90:58340,-32.66,-32.66,1777376064177,-355.7,65376,75175,0,fallback
6,1777376064750,1777376065073,192.168.35.90:58340,0.00,0.00,1777376064681,-354.6,87456,88487,0,anchor_set
7,1777376065058,1777376065372,192.168.35.90:58340,0.79,-13.39,1777376064681,-354.6,87456,102352,0,drift
8,1777376065539,1777376065873,192.168.35.90:58340,0.62,-11.33,1777376065186,-354.6,109536,124368,0,drift
9,1777376066138,1777376066471,192.168.35.90:58340,0.60,-4.37,1777376065691,-353.5,131520,150736,0,drift
10,1777376066638,1777376066972,192.168.35.90:58340,-1.35,-51.92,1777376066146,-353.5,153504,172752,0,drift
11,1777376067162,1777376067473,192.168.35.90:58340,-3.01,-46.52,1777376066650,-352.6,175584,195024,0,drift
12,1777376067749,1777376068071,192.168.35.90:58340,0.09,-41.86,1777376067156,-352.6,197856,221392,0,drift
13,1777376068238,1777376068572,192.168.35.90:58340,-0.44,-30.94,1777376068168,-351.7,241824,243408,0,drift
14,1777376068741,1777376069074,192.168.35.90:58340,-5.19,-31.11,1777376068672,-350.6,263808,265424,0,drift
15,1777376069242,1777376069575,192.168.35.90:58340,0.13,-24.74,1777376069177,-350.6,285888,287440,0,drift
16,1777376069840,1777376070172,192.168.35.90:58340,-1.88,-17.82,1777376069682,-349.7,308064,314064,0,drift
17,1777376070344,1777376070674,192.168.35.90:58340,-5.75,-19.33,1777376070185,-349.7,330048,336080,0,drift
18,1777376070741,1777376071074,192.168.35.90:58340,-5.43,0.00,1777376070691,-348.9,352032,353744,0,anchor_reset_offset_drift
19,1777376070842,1777376071169,192.168.35.90:58340,-5.43,0.00,1777376070691,-348.9,352032,357840,0,anchor_set
20,1777376070941,1777376071271,192.168.35.90:58340,-2.58,-10.94,1777376070691,-348.9,352032,362380,0,drift
21,1777376071439,1777376071772,192.168.35.90:58340,-4.88,-9.29,1777376071197,-348.9,374112,384396,0,drift
22,1777376071941,1777376072273,192.168.35.90:58340,-3.61,-50.68,1777376071652,-348.2,396192,406668,0,drift
23,1777376072541,1777376072871,192.168.35.90:58340,-2.86,-48.70,1777376072157,-348.2,418176,432780,0,drift
24,1777376073079,1777376073372,192.168.35.90:58340,-4.91,-43.77,1777376072661,-347.6,440256,455052,0,drift
25,1777376073539,1777376073874,192.168.35.90:58340,-5.93,-40.55,1777376073166,-347.6,462240,477068,0,drift
26,1777376074081,1777376074375,192.168.35.90:58340,-2.23,-33.49,1777376073672,-347.0,484320,499084,0,drift
27,1777376074655,1777376074972,192.168.35.90:58340,-5.24,-31.53,1777376074176,-347.0,506400,525452,0,drift
28,1777376075166,1777376075474,192.168.35.90:58340,-5.59,-24.20,1777376074680,-346.5,528384,547724,0,drift
29,1777376075739,1777376076071,192.168.35.90:58340,-3.98,-11.89,1777376075691,-346.1,572544,574092,0,drift
30,1777376076237,1777376076572,192.168.35.90:58340,-4.89,-9.42,1777376076195,-346.1,594528,596108,0,drift
31,1777376076736,1777376077073,192.168.35.90:58340,-6.20,-60.52,1777376076648,-345.7,616608,618124,0,drift
32,1777376077261,1777376077575,192.168.35.90:58340,-9.55,-56.87,1777376077151,-345.7,638688,640396,0,drift
33,1777376077837,1777376078172,192.168.35.90:58340,-7.88,-48.06,1777376077656,-345.3,660672,666764,0,drift
34,1777376078341,1777376078674,192.168.35.90:58340,-9.81,-51.41,1777376078160,-345.3,682848,688780,0,drift
35,1777376078840,1777376079175,192.168.35.90:58340,-4.33,-49.45,1777376078665,-345.0,704928,710540,0,drift
36,1777376079440,1777376079772,192.168.35.90:58340,-7.05,-38.91,1777376079171,-345.0,726912,737164,0,drift
37,1777376079938,1777376080273,192.168.35.90:58340,-9.34,-32.16,1777376079676,-344.7,748992,759436,0,drift
38,1777376080540,1777376080871,192.168.35.90:58340,-7.75,-23.94,1777376080181,-344.7,770976,785804,0,drift
39,1777376081040,1777376081372,192.168.35.90:58340,-8.95,-23.62,1777376080685,-344.3,793056,807820,0,drift
40,1777376081542,1777376081874,192.168.35.90:58340,-8.38,-20.84,1777376081192,-344.3,815136,829836,0,drift
41,1777376082039,1777376082375,192.168.35.90:58340,-5.79,-12.77,1777376081697,-344.0,837120,851852,0,drift
42,1777376082640,1777376082972,192.168.35.90:58340,-8.36,-54.63,1777376082152,-344.0,859200,878476,0,drift
43,1777376082740,1777376083074,192.168.35.90:58340,-8.36,0.00,1777376082656,-343.8,881184,882828,0,anchor_reset_offset_drift
44,1777376082840,1777376083170,192.168.35.90:58340,-8.36,0.00,1777376082656,-343.8,881184,887180,0,anchor_set
45,1777376083184,1777376083473,192.168.35.90:58340,-3.29,-10.86,1777376082656,-343.8,881184,902307,0,drift
46,1777376083642,1777376083975,192.168.35.90:58340,0.42,16.96,1777376083212,-343.8,904320,924067,0,drift
47,1777376084263,1777376084572,192.168.35.90:58340,-3.08,0.87,1777376084171,-343.6,947424,950691,0,drift
48,1777376084740,1777376085074,192.168.35.90:58340,-0.71,6.96,1777376084675,-343.4,969408,972707,0,drift
49,1777376085272,1777376085575,192.168.35.90:58340,-0.30,10.21,1777376085180,-343.4,991488,994723,0,drift
50,1777376085841,1777376086172,192.168.35.90:58340,-4.46,16.64,1777376085685,-343.3,1013568,1021347,0,drift
51,1777376086339,1777376086673,192.168.35.90:58340,-5.06,18.37,1777376086190,-343.3,1035648,1043363,0,drift
52,1777376086898,1777376087175,192.168.35.90:58340,-6.92,14.45,1777376086190,-343.3,1035648,1065379,0,drift
53,1777376087441,1777376087772,192.168.35.90:58340,-4.61,-22.13,1777376087150,-343.2,1079712,1091747,0,drift
54,1777376087943,1777376088273,192.168.35.90:58340,-5.10,-14.35,1777376087655,-343.0,1101792,1114019,0,drift
55,1777376088540,1777376088871,192.168.35.90:58340,-1.59,-2.81,1777376088162,-343.0,1123776,1140387,0,drift
56,1777376089040,1777376089372,192.168.35.90:58340,-2.59,0.41,1777376088669,-342.9,1145856,1162403,0,drift
57,1777376089543,1777376089873,192.168.35.90:58340,-6.30,-0.94,1777376089173,-342.9,1167936,1184419,0,drift
58,1777376090140,1777376090471,192.168.35.90:58340,-0.78,11.51,1777376089679,-342.8,1189920,1210787,0,drift
59,1777376090639,1777376090972,192.168.35.90:58340,-3.19,21.35,1777376090186,-342.8,1211904,1233059,0,drift
