seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,event
0,1777377944433,0,host,0.00,0.00,1777377944107,0.0,0,0,0,0.00,0.00,0.00,0.00,host_play
1,1777377944581,1777377944782,192.168.35.90:58374,0.00,0.00,1777377944107,-298.8,0,0,0,0.00,0.00,0.00,0.00,guest_start
2,1777377944618,1777377944910,192.168.35.90:58374,-492.63,-492.63,1777377944107,-298.8,0,512,0,0.00,0.00,0.00,0.00,fallback
3,1777377945140,1777377945476,192.168.35.90:58374,158.92,158.92,1777377944902,-303.8,20160,39645,0,8.18,20.87,12.69,0.00,fallback
4,1777377945641,1777377945978,192.168.35.90:58374,162.44,162.44,1777377945404,-303.8,42240,61917,0,8.33,21.86,13.53,0.00,fallback
5,1777377946139,1777377946479,192.168.35.90:58374,-30.39,-30.39,1777377945891,-308.2,64224,75917,0,7.98,23.71,15.74,0.00,fallback
6,1777377946640,1777377946980,192.168.35.90:58374,-24.81,-24.81,1777377946396,-308.2,86400,98189,0,8.16,24.50,16.34,0.00,fallback
7,1777377947242,1777377947578,192.168.35.90:58374,-17.25,-17.25,1777377946901,-312.3,108384,124301,0,7.99,21.46,13.46,0.00,fallback
8,1777377947741,1777377948079,192.168.35.90:58374,-7.43,-7.43,1777377947405,-316.0,130464,146573,0,9.19,23.86,14.67,0.00,fallback
9,1777377948242,1777377948581,192.168.35.90:58374,-21.66,-21.66,1777377947860,-316.0,152544,170158,0,8.42,24.45,16.02,0.00,fallback
10,1777377948766,1777377949082,192.168.35.90:58374,-19.66,-19.66,1777377947860,-316.0,152544,192174,0,8.42,20.68,12.25,0.00,fallback
11,1777377949344,1777377949679,192.168.35.90:58374,-3.23,-3.23,1777377948873,-319.3,196608,218542,0,9.41,23.27,13.86,0.00,fallback
12,1777377949842,1777377950181,192.168.35.90:58374,4.10,4.10,1777377949376,-322.2,218592,240814,0,7.55,24.57,17.03,0.00,fallback
13,1777377950441,1777377950778,192.168.35.90:58374,11.14,11.14,1777377949881,-322.2,240768,267182,0,9.13,22.18,13.05,0.00,fallback
14,1777377950941,1777377951279,192.168.35.90:58374,13.01,13.01,1777377950384,-324.9,262752,289198,0,6.87,23.45,16.58,0.00,fallback
15,1777377951440,1777377951781,192.168.35.90:58374,12.67,12.67,1777377950888,-324.9,284832,311214,0,7.36,24.83,17.47,0.00,fallback
16,1777377952085,1777377952378,192.168.35.90:58374,29.56,29.56,1777377951898,-327.3,328992,337582,0,9.51,22.05,12.54,0.00,fallback
17,1777377952541,1777377952879,192.168.35.90:58374,-13.46,-13.46,1777377952403,-327.3,350976,357587,0,8.77,23.46,14.69,0.00,fallback
18,1777377953042,1777377953380,192.168.35.90:58374,-61.49,-61.49,1777377952857,-329.4,373056,379603,0,8.62,24.96,16.34,0.00,fallback
19,1777377953641,1777377953978,192.168.35.90:58374,-14.54,-14.54,1777377953361,-329.4,395136,407734,0,9.43,22.03,12.60,0.00,fallback
20,1777377954141,1777377954480,192.168.35.90:58374,-16.87,-16.87,1777377953361,-331.2,395136,429750,0,9.43,23.44,14.01,0.00,fallback
21,1777377954641,1777377954980,192.168.35.90:58374,-2.65,-2.65,1777377954371,-331.2,439200,452022,0,9.09,24.74,15.64,0.00,fallback
22,1777377955142,1777377955482,192.168.35.90:58374,-1.88,-1.88,1777377954875,-332.9,461280,473782,0,9.05,20.35,11.30,0.00,fallback
23,1777377955968,1777377956079,192.168.35.90:58374,8.86,8.86,1777377955380,-332.9,483264,500406,0,9.43,23.21,13.78,0.00,fallback
24,1777377956243,1777377956580,192.168.35.90:58374,10.37,10.37,1777377955885,-334.4,505344,522422,0,8.34,24.65,16.31,0.00,fallback
25,1777377956741,1777377957082,192.168.35.90:58374,17.42,17.42,1777377956390,-335.8,527424,544438,0,8.47,20.64,12.17,0.00,fallback
26,1777377957440,1777377957679,192.168.35.90:58374,-20.36,-20.36,1777377956896,-335.8,549408,568882,0,8.62,23.36,14.73,0.00,fallback
27,1777377957756,1777377958079,192.168.35.90:58374,0.00,0.00,1777377957401,-337.0,571584,586290,0,0.00,0.00,0.00,0.00,anchor_set
28,1777377957854,1777377958186,192.168.35.90:58374,3.86,-16.48,1777377957401,-337.0,571584,591170,0,7.31,19.93,12.62,16.05,drift
29,1777377958440,1777377958778,192.168.35.90:58374,2.41,-53.12,1777377957856,-337.0,593472,617538,0,8.22,22.06,13.85,16.05,drift
30,1777377958941,1777377959279,192.168.35.90:58374,1.49,-52.29,1777377958360,-338.1,615552,639554,0,7.62,23.29,15.67,16.05,drift
31,1777377959441,1777377959781,192.168.35.90:58374,1.18,-42.92,1777377958867,-338.1,637632,661826,0,8.90,24.55,15.64,16.05,drift
32,1777377960041,1777377960378,192.168.35.90:58374,4.99,-33.64,1777377959879,-339.1,681792,687938,0,9.05,22.16,13.10,16.05,drift
33,1777377960542,1777377960879,192.168.35.90:58374,4.00,-24.11,1777377960384,-339.1,703776,710210,0,8.93,23.04,14.10,16.05,drift
34,1777377961072,1777377961381,192.168.35.90:58374,2.46,-24.07,1777377960889,-340.0,725856,732226,0,7.92,24.43,16.50,16.05,drift
35,1777377961542,1777377961882,192.168.35.90:58374,6.91,-15.85,1777377961396,-340.0,747936,754242,0,7.73,20.56,12.83,16.05,drift
36,1777377962141,1777377962479,192.168.35.90:58374,5.58,-11.10,1777377961899,-340.8,769920,780610,0,8.96,23.26,14.30,16.05,drift
37,1777377962642,1777377962981,192.168.35.90:58374,3.94,-3.33,1777377962406,-340.8,792000,802882,0,8.76,24.63,15.87,16.05,drift
38,1777377963141,1777377963482,192.168.35.90:58374,9.24,-52.98,1777377962860,-341.2,814080,824642,0,8.90,20.59,11.69,16.05,drift
39,1777377963744,1777377964079,192.168.35.90:58374,6.16,-44.22,1777377963363,-341.6,836064,851266,0,8.60,23.12,14.52,16.05,drift
40,1777377964242,1777377964581,192.168.35.90:58374,3.66,-45.85,1777377963867,-341.6,858144,873282,0,7.81,24.52,16.71,16.05,drift
41,1777377964744,1777377965076,192.168.35.90:58374,3.59,0.00,1777377964370,-342.2,880224,895298,0,0.00,0.00,0.00,0.00,anchor_reset_offset_drift
42,1777377964845,1777377965178,192.168.35.90:58374,3.59,0.00,1777377964370,-342.2,880224,899650,0,0.00,0.00,0.00,0.00,anchor_set
