seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
0,1777354583279,0,host,0.00,0.00,1777354583229,0.0,12815240,290595,0,host_seek
1,1777354597348,0,host,0.00,0.00,1777354596932,0.0,12815240,0,0,host_state_sync_sent
2,1777354597349,0,host,0.00,0.00,1777354596932,0.0,12815240,0,0,host_play
3,1777354598366,1777354600156,192.168.35.90:57952,0.00,0.00,1777354596932,-1839.9,12815240,0,0,host_state_sync_recv
4,1777354598475,1777354600156,192.168.35.90:57952,0.00,0.00,1777354596932,-1841.8,12815240,0,0,guest_start
5,1777354598829,1777354600326,192.168.35.90:57952,-291744.52,-291744.52,1777354598321,-1841.8,12859592,512,0,fallback
6,1777354599519,1777354601355,192.168.35.90:57952,0.00,0.00,1777354599289,-1842.6,12903752,12902884,0,anchor_set
7,1777354599650,1777354601456,192.168.35.90:57952,0.65,-1.85,1777354599289,-1842.6,12903752,12918602,0,drift
8,1777354600151,1777354601957,192.168.35.90:57952,2.71,-0.54,1777354599794,-1842.6,12925736,12940362,0,drift
9,1777354600718,1777354602554,192.168.35.90:57952,0.23,8.80,1777354600298,-1843.4,12947720,12966986,0,drift
10,1777354601231,1777354603055,192.168.35.90:57952,0.04,11.89,1777354600804,-1843.4,12969800,12989002,0,drift
11,1777354601726,1777354603563,192.168.35.90:57952,3.98,23.73,1777354601309,-1844.0,12991880,13011530,0,drift
12,1777354602314,1777354604155,192.168.35.90:57952,-1.53,17.72,1777354601814,-1844.0,13013960,13037386,0,drift
13,1777354602817,1777354604656,192.168.35.90:57952,0.22,14.05,1777354602320,-1844.5,13036616,13059658,0,drift
14,1777354603418,1777354605253,192.168.35.90:57952,3.94,40.54,1777354603328,-1845.0,13080104,13086026,0,drift
15,1777354603916,1777354605754,192.168.35.90:57952,2.54,-5.80,1777354603784,-1845.0,13102088,13108042,0,drift
16,1777354604415,1777354606256,192.168.35.90:57952,4.72,-2.31,1777354604289,-1845.4,13124264,13130058,0,drift
17,1777354605015,1777354606853,192.168.35.90:57952,0.97,1.57,1777354604794,-1845.4,13146248,13156426,0,drift
18,1777354605516,1777354607354,192.168.35.90:57952,1.72,10.44,1777354605298,-1845.7,13168232,13178698,0,drift
19,1777354606151,1777354607951,192.168.35.90:57952,4.69,19.51,1777354605804,-1845.7,13190312,13205066,0,drift
20,1777354606614,1777354608453,192.168.35.90:57952,1.84,18.39,1777354606308,-1846.1,13212392,13227082,0,drift
21,1777354607050,0,host,0.00,0.00,1777354607015,0.0,13243208,0,0,host_state_sync_sent
22,1777354607051,0,host,0.00,0.00,1777354607015,0.0,13243208,0,0,host_pause
23,1777354607150,1777354608955,192.168.35.90:57952,0.18,13.91,1777354606308,-1846.1,13212392,13249098,0,drift
24,1777354607180,1777354608955,192.168.35.90:57952,0.18,0.00,1777354607015,-1846.1,13243208,13249098,0,host_state_sync_recv
25,1777354607180,1777354608955,192.168.35.90:57952,0.18,0.00,1777354607015,-1846.1,13243208,13249098,0,guest_stop
26,1777354608807,1777354610556,192.168.35.90:57952,0.18,0.00,1777354607015,-1846.6,13243208,13231871,0,anchor_reset_seek_notify
27,1777354608808,0,host,0.00,0.00,1777354608733,0.0,13243496,0,0,host_state_sync_sent
28,1777354608809,0,host,0.00,0.00,1777354608733,0.0,13243496,0,0,host_play
29,1777354608877,1777354610556,192.168.35.90:57952,0.18,0.00,1777354608733,-1846.6,13243496,13231871,0,host_state_sync_recv
30,1777354608942,1777354610727,192.168.35.90:57952,0.00,0.00,1777354608733,-1846.6,13243496,0,0,guest_start
31,1777354610017,1777354611850,192.168.35.90:57952,0.00,0.00,1777354609726,-1846.9,41184,13274111,0,anchor_set
32,1777354610153,1777354611951,192.168.35.90:57952,1.94,-0.38,1777354609726,-1846.9,41184,58424,0,drift
33,1777354610617,1777354612453,192.168.35.90:57952,-0.26,-27.69,1777354610204,-1847.1,63264,80440,0,drift
34,1777354611146,1777354612954,192.168.35.90:57952,0.22,-22.77,1777354610709,-1847.1,85248,102456,0,drift
35,1777354611618,1777354613455,192.168.35.90:57952,2.99,-12.67,1777354611215,-1847.3,107424,124728,0,drift
36,1777354612252,1777354614053,192.168.35.90:57952,-1.17,-10.56,1777354611718,-1847.3,129408,151096,0,drift
37,1777354612714,1777354614554,192.168.35.90:57952,-0.21,-14.06,1777354612224,-1847.4,151776,173112,0,drift
38,1777354613129,0,host,0.00,0.00,1777354613030,0.0,12375474,280623,0,host_seek
39,1777354613158,1777354614954,192.168.35.90:57952,-0.52,0.00,1777354612727,-1847.4,174048,190776,0,anchor_reset_seek_notify
40,1777354613870,0,host,0.00,0.00,1777354613788,0.0,12622655,286228,0,host_seek
41,1777354613880,1777354615653,192.168.35.90:57952,-0.52,0.00,1777354613687,-1847.6,12402162,12404402,0,anchor_reset_seek_notify
42,1777354614052,0,host,0.00,0.00,1777354613990,0.0,12846110,291295,0,host_seek
43,1777354614063,1777354615855,192.168.35.90:57952,-0.52,0.00,1777354613788,-1847.6,12406578,12628543,0,anchor_reset_seek_notify
44,1777354614248,0,host,0.00,0.00,1777354614191,0.0,13070049,296373,0,host_seek
45,1777354614263,1777354616053,192.168.35.90:57952,-0.52,0.00,1777354613990,-1847.6,12629951,12852766,0,anchor_reset_seek_notify
46,1777354615348,1777354617152,192.168.35.90:57952,-0.52,0.00,1777354614698,-1847.7,13091361,13116385,0,anchor_set
47,1777354615412,1777354617253,192.168.35.90:57952,0.45,0.81,1777354615204,-1847.9,13113537,13123061,0,drift
48,1777354615915,1777354617754,192.168.35.90:57952,-0.97,6.41,1777354615709,-1847.9,13135425,13145077,0,drift
49,1777354616443,1777354618255,192.168.35.90:57952,-3.11,12.96,1777354616214,-1848.0,13157505,13167349,0,drift
50,1777354616936,1777354618773,192.168.35.90:57952,0.65,21.30,1777354616719,-1848.0,13179489,13190133,0,drift
51,1777354617514,1777354619355,192.168.35.90:57952,0.53,23.71,1777354617226,-1848.1,13201665,13215733,0,drift
52,1777354618017,1777354619856,192.168.35.90:57952,-2.95,26.00,1777354617731,-1848.1,13223649,13237749,0,drift
53,1777354618152,0,host,0.00,0.00,1777354618085,0.0,13241313,0,0,host_state_sync_sent
54,1777354618153,0,host,0.00,0.00,1777354618085,0.0,13241313,0,0,host_pause
55,1777354618256,1777354620053,192.168.35.90:57952,1.28,0.00,1777354618085,-1848.1,13241313,13246453,0,host_state_sync_recv
56,1777354618292,1777354620053,192.168.35.90:57952,1.28,0.00,1777354618085,-1848.1,13241313,13246453,0,guest_stop
57,1777354619654,1777354621458,192.168.35.90:57952,1.28,0.00,1777354618085,-1848.3,13241313,13231748,0,anchor_reset_seek_notify
58,1777354619655,0,host,0.00,0.00,1777354619529,0.0,13241409,0,0,host_state_sync_sent
59,1777354619656,0,host,0.00,0.00,1777354619529,0.0,13241409,0,0,host_play
60,1777354619762,1777354621458,192.168.35.90:57952,1.28,0.00,1777354619529,-1848.3,13241409,13231748,0,host_state_sync_recv
61,1777354619836,1777354621458,192.168.35.90:57952,0.00,0.00,1777354619529,-1848.3,13241409,13231748,0,guest_start
62,1777354620921,1777354622751,192.168.35.90:57952,0.00,0.00,1777354620629,-1848.3,43296,13279108,0,anchor_set
