seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
0,1777354930749,0,host,0.00,0.00,1777354930606,0.0,0,0,0,host_state_sync_sent
1,1777354930750,0,host,0.00,0.00,1777354930606,0.0,0,0,0,host_play
2,1777354930890,1777354932576,192.168.35.90:57960,0.00,0.00,1777354930606,-1855.6,0,0,0,guest_start
3,1777354930956,1777354932576,192.168.35.90:57960,0.00,0.00,1777354930606,-1855.6,0,0,0,host_state_sync_recv
4,1777354930956,1777354932750,192.168.35.90:57960,-276.81,-276.81,1777354930606,-1855.6,0,512,0,fallback
5,1777354931937,1777354933773,192.168.35.90:57960,0.00,0.00,1777354931710,-1855.6,42528,55727,0,anchor_set
6,1777354932041,1777354933874,192.168.35.90:57960,-1.09,-3.78,1777354931710,-1854.9,42528,56661,0,drift
7,1777354932533,1777354934376,192.168.35.90:57960,0.91,-23.26,1777354932195,-1854.9,64512,78421,0,drift
8,1777354933131,1777354934973,192.168.35.90:57960,-1.70,-16.80,1777354932698,-1854.3,86592,105045,0,drift
9,1777354933634,1777354935474,192.168.35.90:57960,-3.39,-9.82,1777354933202,-1854.3,108576,127317,0,drift
10,1777354934132,1777354935976,192.168.35.90:57960,0.79,-8.64,1777354933708,-1853.8,130656,149077,0,drift
11,1777354934763,1777354936573,192.168.35.90:57960,-2.61,-51.51,1777354934162,-1853.3,152736,175701,0,drift
12,1777354935235,1777354937074,192.168.35.90:57960,-4.03,-51.13,1777354934667,-1853.3,174816,197717,0,drift
13,1777354936074,1777354937576,192.168.35.90:57960,-5.76,-42.97,1777354935172,-1853.3,196800,219989,0,drift
14,1777354936333,1777354938173,192.168.35.90:57960,-1.12,-36.47,1777354936181,-1852.9,240960,246101,0,drift
15,1777354937098,1777354938674,192.168.35.90:57960,-2.23,-33.51,1777354936181,-1852.9,240960,268373,0,drift
16,1777354937335,1777354939176,192.168.35.90:57960,-0.28,-29.56,1777354937192,-1852.5,285120,290133,0,drift
17,1777354937965,1777354939773,192.168.35.90:57960,-2.63,-22.24,1777354937696,-1852.0,307200,316757,0,drift
18,1777354938435,1777354940274,192.168.35.90:57960,-4.36,-17.35,1777354938200,-1852.0,329088,338773,0,drift
19,1777354939048,1777354940776,192.168.35.90:57960,-6.00,-15.63,1777354938200,-1852.0,329088,361045,0,drift
20,1777354939550,1777354941373,192.168.35.90:57960,-4.13,-7.77,1777354939209,-1851.6,373344,387413,0,drift
21,1777354940039,1777354941874,192.168.35.90:57960,-3.94,-52.86,1777354939665,-1851.3,395328,409429,0,drift
22,1777354940633,1777354942472,192.168.35.90:57960,-4.00,-46.52,1777354940170,-1851.3,417408,435797,0,drift
23,1777354941133,1777354942973,192.168.35.90:57960,-5.41,-44.67,1777354940676,-1851.0,439488,457813,0,drift
24,1777354941633,1777354943474,192.168.35.90:57960,-6.35,-33.78,1777354941183,-1851.0,461472,480085,0,drift
25,1777354942132,1777354943975,192.168.35.90:57960,-7.27,-32.63,1777354941688,-1850.7,483552,502101,0,drift
26,1777354942382,0,host,0.00,0.00,1777354942294,0.0,509856,0,0,host_state_sync_sent
27,1777354942383,0,host,0.00,0.00,1777354942294,0.0,509856,0,0,host_pause
28,1777354942398,1777354944173,192.168.35.90:57960,-4.38,0.00,1777354942294,-1850.7,509856,510805,0,host_state_sync_recv
