seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
0,1777355724465,0,host,0.00,0.00,1777355724365,0.0,0,0,0,host_state_sync_sent
1,1777355724467,0,host,0.00,0.00,1777355724365,0.0,0,0,0,host_play
2,1777355753694,1777355751748,192.168.35.78:48666,0.00,0.00,1777355753454,1849.0,1277184,0,0,guest_start
3,1777355753697,1777355751751,192.168.35.78:48666,-29080.35,-29080.35,1777355753454,1849.0,1277184,96,0,fallback
4,1777355754116,1777355752254,192.168.35.78:48666,8.40,8.40,1777355753955,1851.8,1299200,1305702,0,fallback
5,1777355754771,1777355752800,192.168.35.78:48666,61.32,61.32,1777355754451,1854.3,1321216,1332294,0,fallback
6,1777355755220,1777355753352,192.168.35.78:48666,-105.47,-105.47,1777355754952,1854.3,1343232,1349094,0,fallback
7,1777355756752,1777355753857,192.168.35.78:48666,-114.25,-114.25,1777355755454,1854.2,1365504,1371078,0,fallback
8,1777355756968,1777355754413,192.168.35.78:48666,57.31,57.31,1777355755454,1854.2,1365504,1403149,0,fallback
9,1777355756972,1777355754918,192.168.35.78:48666,47.19,47.19,1777355756451,1854.2,1409536,1425229,0,fallback
10,1777355757317,1777355755423,192.168.35.78:48666,8.32,8.32,1777355756952,1854.1,1431552,1445588,0,fallback
11,1777355757859,1777355755928,192.168.35.78:48666,8.44,8.44,1777355757454,1854.0,1453568,1467668,0,fallback
12,1777355758319,1777355756431,192.168.35.78:48666,-0.80,-0.80,1777355757950,1854.0,1475584,1489748,0,fallback
13,1777355759208,1777355756936,192.168.35.78:48666,-4.99,-4.99,1777355758451,1854.0,1497600,1511732,0,fallback
14,1777355759316,1777355757441,192.168.35.78:48666,-12.51,-12.51,1777355758952,1853.9,1519872,1533812,0,fallback
15,1777355759619,1777355757744,192.168.35.78:48666,0.00,0.00,1777355759455,1853.8,1541632,1547060,0,anchor_set
16,1777355759850,1777355757945,192.168.35.78:48666,0.06,-7.11,1777355759455,1853.8,1541632,1556018,0,drift
17,1777355760318,1777355758450,192.168.35.78:48666,4.05,-10.72,1777355759955,1853.8,1563904,1578098,0,drift
18,1777355760854,1777355758954,192.168.35.78:48666,-1.08,-18.38,1777355760456,1853.7,1585920,1600082,0,drift
19,1777355761317,1777355759460,192.168.35.78:48666,1.17,-23.43,1777355760953,1853.7,1607936,1622162,0,drift
20,1777355761927,1777355760015,192.168.35.78:48666,2.43,23.53,1777355761454,1853.6,1629952,1648562,0,drift
21,1777355762419,1777355760520,192.168.35.78:48666,0.85,17.84,1777355761854,1853.6,1647616,1670642,0,drift
22,1777355762974,1777355761025,192.168.35.78:48666,1.48,10.65,1777355762355,1853.6,1669888,1692722,0,drift
23,1777355763263,0,host,0.00,0.00,1777355763256,0.0,1709568,0,0,host_state_sync_sent
24,1777355763265,0,host,0.00,0.00,1777355763256,0.0,1709568,0,0,host_pause
25,1777355763279,1777355761329,192.168.35.78:48666,-2.78,0.00,1777355763256,1853.6,1709568,1705970,0,host_state_sync_recv
26,1777355763358,1777355761329,192.168.35.78:48666,-2.78,0.00,1777355763256,1853.6,1709568,1705970,0,guest_stop
27,1777355764862,0,host,0.00,0.00,1777355764757,0.0,1709568,0,0,host_state_sync_sent
28,1777355764863,0,host,0.00,0.00,1777355764757,0.0,1709568,0,0,host_play
29,1777355764878,1777355762958,192.168.35.78:48666,-2.78,0.00,1777355764757,1853.6,1709568,1709568,0,host_state_sync_recv
30,1777355764945,1777355762958,192.168.35.78:48666,0.00,0.00,1777355764757,1853.6,1709568,1709568,0,guest_start
31,1777355764947,1777355763059,192.168.35.78:48666,-155.65,-155.65,1777355764757,1853.6,1709568,1709568,0,fallback
32,1777355765420,1777355763551,192.168.35.78:48666,0.00,0.00,1777355765353,1853.6,1731840,1738128,0,anchor_set
33,1777355765525,1777355763656,192.168.35.78:48666,0.20,-6.84,1777355765353,1853.6,1731840,1737794,0,drift
34,1777355766119,1777355764218,192.168.35.78:48666,1.80,27.59,1777355765854,1853.7,1754112,1764194,0,drift
35,1777355766619,1777355764720,192.168.35.78:48666,-2.34,24.92,1777355766350,1853.7,1775872,1786274,0,drift
36,1777355767125,1777355765224,192.168.35.78:48666,-0.89,26.11,1777355766851,1853.7,1797888,1808450,0,drift
37,1777355767615,1777355765729,192.168.35.78:48666,0.92,15.42,1777355767352,1853.7,1820160,1830338,0,drift
38,1777355767891,0,host,0.00,0.00,1777355767864,0.0,2058323,46674,0,host_seek
39,1777355767977,1777355766031,192.168.35.78:48666,-1.57,0.00,1777355767752,1853.7,1837824,1843682,0,anchor_reset_seek_notify
