seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,event
0,1777711470792,0,host,0.00,0.00,1777711470369,0.0,0,0,0,0.00,0.00,0.00,0.00,host_play
1,1777711470974,1777711471494,192.168.35.43:51516,0.00,0.00,1777711470369,-744.8,0,0,0,0.00,0.00,0.00,0.00,guest_start
2,1777711470974,1777711471692,192.168.35.43:51516,-566.56,-566.56,1777711470369,-744.8,0,512,0,0.00,0.00,0.00,0.00,fallback
3,1777711471457,1777711472192,192.168.35.43:51516,213.66,213.66,1777711471268,-742.7,20928,39065,0,7.95,24.30,16.36,0.00,fallback
4,1777711471969,1777711472693,192.168.35.43:51516,210.43,210.43,1777711471770,-740.9,43008,61081,0,7.75,25.01,17.25,0.00,fallback
5,1777711472551,1777711473290,192.168.35.43:51516,-42.86,-42.86,1777711472247,-740.9,65088,77152,0,8.17,22.46,14.29,0.00,fallback
6,1777711473053,1777711473792,192.168.35.43:51516,-43.44,-43.44,1777711472752,-739.2,87168,99168,0,9.03,23.75,14.73,0.00,fallback
7,1777711473552,1777711474293,192.168.35.43:51516,-2.15,-2.15,1777711473266,-739.2,109152,122450,0,8.67,24.55,15.87,0.00,fallback
8,1777711474151,1777711474890,192.168.35.43:51516,-11.14,-11.14,1777711473763,-737.7,131232,148562,0,7.92,22.70,14.78,0.00,fallback
9,1777711474653,1777711475392,192.168.35.43:51516,-2.56,-2.56,1777711474267,-737.7,153216,170834,0,8.43,23.16,14.73,0.00,fallback
10,1777711475151,1777711475893,192.168.35.43:51516,-24.68,-24.68,1777711474722,-736.3,175296,194154,0,7.80,25.40,17.60,0.00,fallback
11,1777711475752,1777711476490,192.168.35.43:51516,-14.79,-14.79,1777711475228,-736.3,197376,220522,0,8.19,22.14,13.94,0.00,fallback
12,1777711475970,1777711476694,192.168.35.43:51516,0.00,0.00,1777711475785,-735.1,220128,229482,0,0.00,0.00,0.00,0.00,anchor_set
13,1777711476256,1777711476992,192.168.35.43:51516,0.70,-18.57,1777711475785,-735.1,220128,240764,0,8.80,23.37,14.57,15.36,drift
14,1777711476757,1777711477494,192.168.35.43:51516,3.99,-62.60,1777711476239,-735.1,242112,262780,0,8.32,19.65,11.33,15.36,drift
15,1777711477355,1777711478090,192.168.35.43:51516,1.50,-42.61,1777711476642,-734.3,259200,289404,0,9.24,23.02,13.77,15.36,drift
16,1777711477868,1777711478592,192.168.35.43:51516,-2.69,-34.04,1777711477755,-735.4,307680,311420,0,7.01,24.30,17.29,15.36,drift
17,1777711478358,1777711479093,192.168.35.43:51516,-0.33,-29.57,1777711478261,-735.4,329760,333436,0,8.68,25.04,16.36,15.36,drift
18,1777711478972,1777711479690,192.168.35.43:51516,4.03,-19.07,1777711478765,-736.6,351744,359804,0,8.46,21.88,13.42,15.36,drift
19,1777711479455,1777711480192,192.168.35.43:51516,2.50,-13.72,1777711479269,-736.6,373824,382076,0,8.56,23.00,14.44,15.36,drift
20,1777711479970,1777711480693,192.168.35.43:51516,-0.15,-63.07,1777711479724,-737.7,395904,404092,0,7.54,25.00,17.47,15.36,drift
21,1777711480556,1777711481290,192.168.35.43:51516,5.47,-53.55,1777711480229,-737.7,417984,430460,0,9.27,22.45,13.18,15.36,drift
22,1777711481073,1777711481792,192.168.35.43:51516,3.54,-51.07,1777711480734,-738.8,439968,452476,0,8.15,23.61,15.46,15.36,drift
23,1777711481555,1777711482293,192.168.35.43:51516,2.63,-45.02,1777711481238,-738.8,462048,474748,0,8.44,25.20,16.76,15.36,drift
24,1777711482152,1777711482890,192.168.35.43:51516,5.96,-36.84,1777711481743,-739.7,484128,501116,0,7.76,22.50,14.74,15.36,drift
25,1777711482656,1777711483392,192.168.35.43:51516,4.43,-32.82,1777711482247,-739.7,506016,523132,0,7.89,23.51,15.62,15.36,drift
26,1777711482861,1777711483589,192.168.35.43:51516,3.42,0.00,1777711482751,-740.5,528192,531836,0,0.00,0.00,0.00,0.00,anchor_reset_offset_drift
