seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,event
0,1777715706208,0,host,0.00,0.00,1777715706077,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,host_play
1,1777715706352,1777715706983,192.168.35.43:51786,0.00,0.00,1777715706077,-762.5,0,0,0,0.00,0.00,0.00,0.00,-763.0,-762.0,8,5,guest_start
2,1777715706430,1777715707113,192.168.35.43:51786,-261.89,-261.89,1777715706077,-762.5,0,512,0,0.00,0.00,0.00,0.00,-763.0,-762.0,8,5,fallback
3,1777715706927,1777715707681,192.168.35.43:51786,-48.15,-48.15,1777715706669,-762.2,20640,30238,0,8.03,24.07,16.04,0.00,-763.0,-762.0,8,5,fallback
4,1777715707434,1777715708182,192.168.35.43:51786,-52.03,-52.03,1777715707169,-762.2,42720,52254,0,7.71,25.18,17.47,0.00,-763.0,-762.0,8,5,fallback
5,1777715708030,1777715708780,192.168.35.43:51786,-22.50,-22.50,1777715707667,-762.2,64800,79890,0,7.94,21.84,13.90,0.00,-763.0,-762.0,12,5,fallback
6,1777715708530,1777715709281,192.168.35.43:51786,-22.21,-22.21,1777715708171,-762.2,86880,101906,0,8.84,23.98,15.14,0.00,-762.0,-762.0,8,5,fallback
7,1777715709029,1777715709783,192.168.35.43:51786,-16.73,-16.73,1777715708675,-762.2,108960,124178,0,9.14,25.15,16.01,0.00,-762.0,-762.0,8,5,fallback
8,1777715709983,1777715710380,192.168.35.43:51786,-21.64,-21.64,1777715709129,-762.2,130944,152216,0,7.49,22.69,15.20,0.00,-762.0,-762.0,8,5,fallback
9,1777715710128,1777715710881,192.168.35.43:51786,-15.85,-15.85,1777715709634,-762.2,153120,174488,0,8.36,23.93,15.57,0.00,-1012.0,-762.0,507,5,fallback
10,1777715710631,1777715711382,192.168.35.43:51786,-11.05,-11.05,1777715710139,-762.2,175008,196504,0,7.38,25.03,17.65,0.00,-762.0,-762.0,9,5,fallback
11,1777715711227,1777715711980,192.168.35.43:51786,-2.74,-2.74,1777715711147,-762.2,219264,222872,0,9.11,22.82,13.71,0.00,-762.0,-762.0,9,5,fallback
12,1777715711540,1777715712278,192.168.35.43:51786,0.00,0.00,1777715711147,-762.1,219264,235928,0,0.00,0.00,0.00,0.00,-762.0,-762.0,7,5,anchor_set
13,1777715711734,1777715712481,192.168.35.43:51786,1.00,-16.13,1777715711147,-762.1,219264,244252,0,9.11,20.01,10.90,12.01,-762.0,-762.0,7,5,drift
14,1777715712227,1777715712983,192.168.35.43:51786,-1.16,-12.65,1777715712154,-762.1,263328,266268,0,7.76,20.22,12.46,12.01,-762.0,-762.0,7,5,drift
15,1777715712731,1777715713484,192.168.35.43:51786,-1.94,-7.01,1777715712657,-762.1,285408,288540,0,9.22,22.38,13.16,12.01,-724.0,-762.0,88,5,drift
