seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,event
0,1777720163899,0,host,0.00,0.00,1777720163668,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,host_play
1,1777720164030,1777720164596,192.168.35.43:51864,0.00,0.00,1777720163668,-774.7,0,0,0,0.00,0.00,0.00,0.00,-775.0,-775.0,9,7,guest_start
2,1777720164053,1777720164802,192.168.35.43:51864,-347.74,-347.74,1777720163668,-774.7,0,512,0,0.00,0.00,0.00,0.00,-775.0,-775.0,9,7,fallback
3,1777720164429,1777720165192,192.168.35.43:51864,0.00,0.00,1777720164353,-774.7,20544,27879,0,0.00,0.00,0.00,0.00,-775.0,-775.0,7,7,anchor_set
4,1777720164627,1777720165394,192.168.35.43:51864,-1.30,-6.64,1777720164353,-774.7,20544,32770,0,7.11,24.66,17.56,15.54,-775.0,-775.0,7,7,drift
5,1777720165225,1777720165992,192.168.35.43:51864,0.80,1.51,1777720164857,-774.7,42528,59138,0,7.58,22.40,14.82,15.54,-775.0,-775.0,7,7,drift
6,1777720165730,1777720166493,192.168.35.43:51864,3.29,-5.02,1777720165354,-774.7,64704,81154,0,9.67,23.42,13.75,15.54,-886.0,-775.0,226,7,drift
7,1777720166226,1777720166994,192.168.35.43:51864,2.02,2.60,1777720165862,-774.7,86880,103426,0,9.31,24.62,15.31,15.54,-886.0,-775.0,226,7,drift
8,1777720166841,1777720167592,192.168.35.43:51864,3.43,11.27,1777720166365,-774.7,108768,129794,0,8.47,21.73,13.26,15.54,-776.0,-775.0,8,7,drift
9,1777720167328,1777720168093,192.168.35.43:51864,2.49,-3.60,1777720166869,-774.7,131520,151810,0,8.73,23.17,14.44,15.54,-776.0,-775.0,8,7,drift
10,1777720167861,1777720168627,192.168.35.43:51864,1.93,-37.45,1777720167323,-774.8,153024,175362,0,8.27,23.02,14.75,15.54,-893.0,-775.0,262,7,drift
11,1777720168427,1777720169192,192.168.35.43:51864,4.91,-23.38,1777720168333,-774.8,196992,200194,0,9.54,21.33,11.79,15.54,-775.0,-775.0,9,7,drift
12,1777720168940,1777720169693,192.168.35.43:51864,3.24,-21.49,1777720168333,-774.8,196992,222466,0,9.54,23.47,13.93,15.54,-775.0,-775.0,9,7,drift
