seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,event
0,1778388580468,0,host,0.00,0.00,1778388580322,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,host_play
1,1778388586801,1778388586999,192.168.0.56:43754,0.00,0.00,1778388586420,-202.9,262752,0,0,0.00,0.00,0.00,0.00,-201.0,-201.0,13,13,guest_start
2,1778388586836,1778388587008,192.168.0.56:43754,-6323.37,-6323.37,1778388586420,-202.9,262752,512,0,8.26,0.00,-8.26,0.00,-201.0,-201.0,13,13,fallback
3,1778388587380,1778388587572,192.168.0.56:43754,-141.29,-141.29,1778388586874,-202.7,284640,300985,0,7.66,24.26,16.60,0.00,-201.0,-201.0,8,8,fallback
4,1778388587975,1778388588169,192.168.0.56:43754,-23.97,-23.97,1778388587380,-202.7,306720,332175,0,7.47,22.32,14.85,0.00,-201.0,-201.0,8,8,fallback
5,1778388588476,1778388588670,192.168.0.56:43754,-19.44,-19.44,1778388587884,-202.5,328896,354447,0,7.71,23.04,15.33,0.00,-200.0,-201.0,9,8,fallback
6,1778388588980,1778388589172,192.168.0.56:43754,-16.80,-16.80,1778388588389,-202.5,350880,376463,0,7.58,24.00,16.42,0.00,-200.0,-201.0,9,8,fallback
7,1778388589579,1778388589769,192.168.0.56:43754,-4.74,-4.74,1778388589400,-202.4,395040,402831,0,7.44,22.20,14.76,0.00,-202.0,-201.0,10,8,fallback
8,1778388590386,1778388590270,192.168.0.56:43754,-0.47,-0.47,1778388589904,-202.4,417024,424847,0,8.64,22.86,14.22,0.00,-202.0,-201.0,10,8,fallback
9,1778388590478,1778388590670,192.168.0.56:43754,0.00,0.00,1778388589904,-202.2,417024,442511,0,0.00,0.00,0.00,0.00,-397.0,-201.0,403,8,anchor_set
10,1778388590579,1778388590772,192.168.0.56:43754,-2.07,-8.07,1778388590408,-202.2,439392,446868,0,8.67,24.48,15.81,14.26,-397.0,-201.0,403,8,drift
11,1778388591080,1778388591273,192.168.0.56:43754,-3.59,-1.68,1778388590912,-202.1,461184,468884,0,7.84,25.22,17.38,14.26,-202.0,-201.0,11,8,drift
12,1778388591702,1778388591870,192.168.0.56:43754,-1.70,6.31,1778388591416,-202.1,483168,495252,0,7.81,23.61,15.80,14.26,-202.0,-201.0,11,8,drift
13,1778388592178,1778388592372,192.168.0.56:43754,-2.69,7.13,1778388591921,-202.0,505248,517268,0,7.94,24.36,16.42,14.26,-200.0,-201.0,10,8,drift
14,1778388592800,1778388592969,192.168.0.56:43754,-0.87,-36.62,1778388592375,-202.0,527328,543636,0,7.69,22.09,14.40,14.26,-200.0,-201.0,10,8,drift
15,1778388593282,1778388593470,192.168.0.56:43754,-0.09,-27.06,1778388592879,-201.9,549312,565908,0,8.36,22.63,14.28,14.26,-208.0,-201.0,23,8,drift
16,1778388593802,1778388593971,192.168.0.56:43754,-0.94,-26.45,1778388593383,-201.9,571392,587924,0,8.97,24.18,15.21,14.26,-208.0,-201.0,23,8,drift
17,1778388594279,1778388594473,192.168.0.56:43754,1.90,-25.15,1778388593888,-201.8,593376,609684,0,7.97,19.71,11.74,14.26,-209.0,-201.0,22,8,drift
18,1778388594878,1778388595070,192.168.0.56:43754,-2.27,-18.47,1778388594393,-201.8,615456,636308,0,7.31,23.42,16.11,14.26,-209.0,-201.0,22,8,drift
19,1778388595383,1778388595572,192.168.0.56:43754,-1.52,-11.56,1778388594897,-201.7,637536,658580,0,7.98,23.45,15.47,14.26,-209.0,-201.0,23,8,drift
20,1778388595902,1778388596073,192.168.0.56:43754,1.88,-11.00,1778388595404,-201.7,659712,680340,0,9.04,20.51,11.47,14.26,-209.0,-201.0,23,8,drift
21,1778388596476,1778388596670,192.168.0.56:43754,-0.55,-23.45,1778388595908,-201.6,682656,706964,0,8.96,23.25,14.29,14.26,-210.0,-201.0,25,8,drift
22,1778388596977,1778388597172,192.168.0.56:43754,-3.07,-1.44,1778388596412,-201.6,703680,728980,0,7.63,24.41,16.78,14.26,-210.0,-201.0,25,8,drift
23,1778388597476,1778388597673,192.168.0.56:43754,1.25,4.78,1778388596916,-201.5,725760,750996,0,8.20,20.16,11.95,14.26,-192.0,-200.0,30,9,drift
24,1778388598080,1778388598270,192.168.0.56:43754,-1.91,-35.83,1778388597877,-201.4,769824,777364,0,8.04,23.27,15.24,14.26,-201.0,-201.0,10,10,drift
25,1778388598619,1778388598809,192.168.0.56:43754,-0.92,-30.33,1778388598381,-201.4,791904,801172,0,8.18,22.09,13.92,14.26,-201.0,-201.0,10,10,drift
26,1778388599178,1778388599369,192.168.0.56:43754,-1.12,-22.61,1778388598887,-201.4,813984,826004,0,7.70,22.27,14.57,14.26,-205.0,-201.0,18,10,drift
27,1778388599677,1778388599870,192.168.0.56:43754,-2.33,-15.86,1778388599393,-201.4,835872,848020,0,7.44,23.16,15.71,14.26,-205.0,-201.0,18,10,drift
28,1778388600178,1778388600371,192.168.0.56:43754,-3.29,-14.76,1778388599898,-201.4,857952,870036,0,7.07,24.19,17.13,14.26,-206.0,-201.0,14,10,drift
29,1778388600680,1778388600873,192.168.0.56:43754,-4.96,-9.37,1778388600402,-201.4,880032,892308,0,7.04,25.13,18.09,14.26,-206.0,-201.0,14,10,drift
30,1778388601301,1778388601470,192.168.0.56:43754,-1.64,-0.09,1778388600908,-201.3,902112,918676,0,7.98,22.99,15.01,14.26,-202.0,-201.0,11,10,drift
31,1778388601777,1778388601972,192.168.0.56:43754,1.71,1.35,1778388601413,-201.3,924096,940436,0,7.76,19.25,11.48,14.26,-202.0,-201.0,11,10,drift
32,1778388602280,1778388602473,192.168.0.56:43754,0.57,7.63,1778388601917,-201.3,946176,962708,0,7.63,20.16,12.53,14.26,-201.0,-201.0,9,9,drift
33,1778388602900,1778388603070,192.168.0.56:43754,-1.85,-38.83,1778388602373,-201.3,968256,989076,0,7.77,22.99,15.22,14.26,-201.0,-201.0,9,9,drift
34,1778388603377,1778388603572,192.168.0.56:43754,-1.51,2.76,1778388602929,-201.3,991104,1011348,0,9.47,24.01,14.54,14.26,-203.0,-201.0,15,9,drift
35,1778388604000,1778388604169,192.168.0.56:43754,-0.32,-22.13,1778388603383,-201.3,1012320,1037716,0,8.67,21.92,13.25,14.26,-203.0,-201.0,15,9,drift
36,1778388604477,1778388604670,192.168.0.56:43754,-1.90,-25.92,1778388603888,-201.2,1034592,1059732,0,7.81,23.03,15.22,14.26,-198.0,-201.0,19,9,drift
37,1778388605000,1778388605172,192.168.0.56:43754,-3.01,-21.99,1778388604392,-201.2,1056480,1081748,0,8.39,24.57,16.19,14.26,-198.0,-201.0,19,9,drift
38,1778388605478,1778388605673,192.168.0.56:43754,2.23,-13.38,1778388604898,-201.2,1078560,1103764,0,8.99,20.10,11.11,14.26,-196.0,-201.0,18,9,drift
39,1778388606078,1778388606270,192.168.0.56:43754,-1.92,1.22,1778388605907,-201.2,1122528,1130388,0,7.69,22.89,15.20,14.26,-224.0,-201.0,52,9,drift
40,1778388606579,1778388606771,192.168.0.56:43754,0.01,2.21,1778388606412,-201.2,1144704,1152404,0,9.58,24.15,14.57,14.26,-224.0,-201.0,52,9,drift
41,1778388607181,1778388607369,192.168.0.56:43754,0.54,8.28,1778388606917,-201.2,1166784,1178772,0,8.43,21.15,12.73,14.26,-207.0,-201.0,26,9,drift
42,1778388607677,1778388607870,192.168.0.56:43754,-1.82,-37.03,1778388607372,-201.2,1188672,1200788,0,7.71,22.65,14.94,14.26,-207.0,-201.0,26,9,drift
43,1778388608177,1778388608372,192.168.0.56:43754,-4.48,-29.91,1778388607879,-201.2,1210752,1223060,0,6.97,24.13,17.16,14.26,-200.0,-201.0,26,9,drift
