seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,event
0,1778381533560,0,host,0.00,0.00,1778381533313,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,host_play
1,1778381536991,1778381537180,192.168.0.56:43616,0.00,0.00,1778381536480,-193.0,130464,0,0,0.00,0.00,0.00,0.00,-186.0,-193.0,18,10,guest_start
2,1778381537032,1778381537191,192.168.0.56:43616,-3457.30,-3457.30,1778381536480,-193.0,130464,512,0,7.46,0.00,-7.46,0.00,-186.0,-193.0,18,10,fallback
3,1778381537084,1778381537264,192.168.0.56:43616,0.00,0.00,1778381536984,-193.0,152832,153308,0,0.00,0.00,0.00,0.00,-186.0,-193.0,18,10,anchor_set
4,1778381537576,1778381537754,192.168.0.56:43616,-0.85,-34.45,1778381537490,-192.8,174720,176875,0,8.65,20.77,12.12,11.20,-191.0,-191.0,8,8,drift
5,1778381538076,1778381538256,192.168.0.56:43616,-3.74,-34.99,1778381537993,-192.8,196704,198891,0,8.00,22.38,14.38,11.20,-191.0,-191.0,8,8,drift
6,1778381538578,1778381538757,192.168.0.56:43616,-3.70,-26.56,1778381538499,-192.6,218784,221163,0,8.21,23.33,15.12,11.20,-190.0,-191.0,9,8,drift
7,1778381539091,1778381539269,192.168.0.56:43616,-1.08,-30.44,1778381538499,-192.6,218784,243435,0,8.21,20.25,12.04,11.20,-190.0,-191.0,9,8,drift
8,1778381539677,1778381539856,192.168.0.56:43616,-2.50,-17.08,1778381539510,-192.5,262944,269547,0,8.83,22.09,13.26,11.20,-191.0,-191.0,13,8,drift
9,1778381540195,1778381540357,192.168.0.56:43616,-4.56,-16.42,1778381540015,-192.5,285024,291563,0,9.08,24.24,15.15,11.20,-191.0,-191.0,13,8,drift
10,1778381540677,1778381540859,192.168.0.56:43616,-6.09,-61.30,1778381540469,-192.3,307104,313835,0,8.38,24.62,16.24,11.20,-190.0,-191.0,10,8,drift
11,1778381541292,1778381541456,192.168.0.56:43616,-3.39,-58.40,1778381540973,-192.3,329088,339947,0,8.98,22.92,13.95,11.20,-190.0,-191.0,10,8,drift
12,1778381541777,1778381541957,192.168.0.56:43616,-4.45,-51.09,1778381541478,-192.2,351168,362219,0,8.69,23.55,14.86,11.20,-215.0,-191.0,59,8,drift
13,1778381542294,1778381542459,192.168.0.56:43616,-6.91,-48.61,1778381541984,-192.2,373152,384235,0,7.49,24.60,17.11,11.20,-215.0,-191.0,59,8,drift
14,1778381542874,1778381543056,192.168.0.56:43616,-4.08,-39.43,1778381542490,-192.1,395232,410603,0,9.13,23.18,14.04,11.20,-190.0,-191.0,10,8,drift
15,1778381543392,1778381543557,192.168.0.56:43616,-5.84,-38.92,1778381542995,-192.1,417312,432619,0,8.51,24.59,16.08,11.20,-190.0,-191.0,10,8,drift
16,1778381543877,1778381544059,192.168.0.56:43616,-2.79,-30.99,1778381543501,-192.0,439296,454635,0,7.34,20.12,12.77,11.20,-196.0,-191.0,15,8,drift
17,1778381544472,1778381544656,192.168.0.56:43616,-5.18,-21.16,1778381544007,-191.9,461376,481259,0,8.34,23.22,14.89,11.20,-186.0,-191.0,17,8,drift
18,1778381544974,1778381545157,192.168.0.56:43616,-6.36,-17.83,1778381544510,-191.9,483264,503275,0,7.65,24.10,16.45,11.20,-186.0,-191.0,17,8,drift
