seq,hostTimeMs,rxWallMs,anchorFramePos,anchorTimeNs,framePos,timeNs,playing
0,1775781658652,1775781659092,4944,1008089441431845,19152,1008089737602053,1
1,1775781659154,1775781659525,4944,1008089441431845,43248,1008090239493095,1
2,1775781659651,1775781660110,4944,1008089441431845,67104,1008090736484553,1
3,1775781660105,1775781660522,4944,1008089441431845,88896,1008091190752001,1
4,1775781660610,1775781661137,4944,1008089441431845,113088,1008091694958667,1
5,1775781661113,1775781661505,4944,1008089441431845,137280,1008092198854032,1
6,1775781661619,1775781662160,4944,1008089441431845,161568,1008092704877052,1
7,1775781662123,1775781662519,4944,1008089441431845,185760,1008093208734604,1
8,1775781662629,1775781663292,4944,1008089441431845,210048,1008093714676583,1
9,1775781663135,1775781663646,4944,1008089441431845,234288,1008094220056583,1
10,1775781663639,1775781664206,4944,1008089441431845,258528,1008094724859395,1
11,1775781664144,1775781664504,4944,1008089441431845,282768,1008095229594447,1
12,1775781664648,1775781665128,4944,1008089441431845,306960,1008095733335072,1
13,1775781665150,1775781665585,4944,1008089441431845,331056,1008096235712051,1
14,1775781665605,1775781666050,4944,1008089441431845,352896,1008096690269342,1
15,1775781666111,1775781666506,4944,1008089441431845,377136,1008097196029446,1
16,1775781666617,1775781667095,4944,1008089441431845,401424,1008097702000123,1
17,1775781667123,1775781667512,4944,1008089441431845,425760,1008098208813769,1
18,1775781667628,1775781668099,4944,1008089441431845,450000,1008098713588248,1
19,1775781668134,1775781668506,4944,1008089441431845,474288,1008099219614498,1
20,1775781668637,1775781669124,4944,1008089441431845,498432,1008099722813872,1
21,1775781669143,1775781669518,4944,1008089441431845,522720,1008100228672570,1
22,1775781669647,1775781670047,4944,1008089441431845,546912,1008100732407257,1
23,1775781670152,1775781670509,4944,1008089441431845,571152,1008101237282986,1
24,1775781670656,1775781671067,4944,1008089441431845,595344,1008101741428976,1
25,1775781671109,1775781671508,4944,1008089441431845,617088,1008102194223559,1
26,1775781671615,1775781672092,4944,1008089441431845,641328,1008102699974600,1
27,1775781672121,1775781672511,4944,1008089441431845,665664,1008103206447986,1
28,1775781672627,1775781673216,4944,1008089441431845,689952,1008103712365121,1
29,1775781673131,1775781673509,4944,1008089441431845,714144,1008104216166267,1
30,1775781673636,1775781674244,4944,1008089441431845,738336,1008104721056527,1
31,1775781674141,1775781674505,4944,1008089441431845,762624,1008105226656631,1
32,1775781674647,1775781675063,4944,1008089441431845,786864,1008105732073506,1
33,1775781675152,1775781675513,4944,1008089441431845,811152,1008106237794703,1
34,1775781675607,1775781676097,4944,1008089441431845,832992,1008106692588714,1
35,1775781676111,1775781676509,4944,1008089441431845,857184,1008107196796838,1
36,1775781676615,1775781677013,4944,1008089441431845,881376,1008107700505849,1
37,1775781677121,1775781677528,4944,1008089441431845,905664,1008108206819234,1
38,1775781677628,1775781678136,4944,1008089441431845,930000,1008108713182671,1
39,1775781678133,1775781678508,4944,1008089441431845,954240,1008109218665015,1
40,1775781678638,1775781679058,4944,1008089441431845,978480,1008109723325900,1
