wallMs,obsHostFrame,obsHostTimeMs,guestFrame,filteredOffsetMs,expectedHostFrame,driftMs
1775744139103,18528,1775744137885,6917,-804.252,38387.9,-315.643
1775744139203,42192,1775744138383,11041,-804.252,42947.9,-324.727
1775744139303,42192,1775744138383,16131,-804.252,47747.9,-318.685
1775744139403,42192,1775744138383,21220,-804.252,52547.9,-312.664
1775744139503,42192,1775744138383,25251,-804.252,57347.9,-328.685
1775744139612,42192,1775744138383,31109,-804.327,62576.3,-315.569
1775744139704,42192,1775744138383,35232,-804.327,66992.3,-321.673
1775744139804,66576,1775744138883,40226,-804.327,72176.3,-325.631
1775744139903,66576,1775744138883,45317,-804.327,76928.3,-318.569
1775744140003,66576,1775744138883,49442,-804.327,81728.3,-332.631
1775744140107,66576,1775744138883,54433,-804.327,86720.3,-332.652
1775744140225,66576,1775744138883,60480,-804.327,92384.3,-324.673
1775744140308,88320,1775744139383,64324,-804.327,94112.3,-280.590
1775744140403,88320,1775744139383,69312,-804.327,98672.3,-271.673
1775744140503,88320,1775744139383,73539,-804.327,103472.3,-283.610
1775744140644,88320,1775744139383,80546,-804.395,110237.1,-278.564
1775744140735,112752,1775744139883,84485,-804.395,115037.1,-296.501
1775744140813,112752,1775744139883,88608,-804.395,118781.1,-288.605
1775744140907,112752,1775744139883,92547,-804.395,123293.1,-300.543
1775744141003,112752,1775744139883,93600,-804.395,127901.1,-374.605
1775744141104,112752,1775744139883,98405,-804.395,132749.1,-375.501
1775744141204,112752,1775744139883,103299,-804.395,137549.1,-373.543
1775744141303,136800,1775744140383,108194,-804.395,142349.1,-371.564
1775744141404,136800,1775744140383,112996,-804.395,147197.1,-372.522
1775744141503,136800,1775744140383,117891,-804.395,151949.1,-369.543
1775744141604,136800,1775744140383,122693,-804.455,156794.2,-370.441
1775744141704,161040,1775744140884,127584,-804.455,161786.2,-372.545
1775744141804,161040,1775744140884,132388,-804.455,166586.2,-372.462
1775744141903,161040,1775744140884,137281,-804.455,171338.2,-369.524
1775744142004,161040,1775744140884,142081,-804.455,176186.2,-370.524
1775744142104,161040,1775744140884,146882,-804.455,180986.2,-370.503
1775744142204,161040,1775744140884,151777,-804.455,185786.2,-368.524
1775744142304,185232,1775744141384,156581,-804.455,190778.2,-372.441
1775744142403,185232,1775744141384,161472,-804.455,195530.2,-369.545
1775744142503,185232,1775744141384,166275,-804.455,200330.2,-369.482
1775744142603,185232,1775744141384,171074,-804.510,205127.5,-369.449
1775744142704,209472,1775744141883,175877,-804.510,210263.5,-376.386
1775744142804,209472,1775744141883,180768,-804.510,215063.5,-374.490
1775744142903,209472,1775744141883,185571,-804.510,219815.5,-373.428
1775744143003,209472,1775744141883,190466,-804.510,224615.5,-371.449
1775744143103,209472,1775744141883,195267,-804.510,229415.5,-371.428
1775744143203,233712,1775744142383,200068,-804.510,234455.5,-376.407
1775744143304,233712,1775744142383,204963,-804.510,239303.5,-375.428
1775744143403,233712,1775744142383,209765,-804.510,244055.5,-374.386
1775744143504,233712,1775744142383,214656,-804.510,248903.5,-373.490
1775744143623,233712,1775744142383,219461,-804.559,254613.2,-392.337
1775744143703,257952,1775744142883,224355,-804.559,258693.2,-375.379
1775744143804,257952,1775744142883,229250,-804.559,263541.2,-374.400
1775744143908,257952,1775744142883,234147,-804.559,268533.2,-376.379
1775744144003,257952,1775744142883,238946,-804.559,273093.2,-371.400
1775744144104,257952,1775744142883,243840,-804.559,277941.2,-370.441
1775744144203,257952,1775744142883,248644,-804.559,282693.2,-369.358
1775744144320,282192,1775744143383,253539,-804.559,288549.2,-389.379
1775744144403,282192,1775744143383,258340,-804.559,292533.2,-372.358
1775744144503,282192,1775744143383,263236,-804.559,297333.2,-370.358
1775744144624,282192,1775744143383,268129,-804.603,303139.1,-389.376
1775744144730,306384,1775744143884,272933,-804.603,308371.1,-398.293
1775744144804,306384,1775744143884,277824,-804.603,311923.1,-370.397
1775744144903,306384,1775744143884,282627,-804.603,316675.1,-369.335
1775744145003,306384,1775744143884,287522,-804.603,321475.1,-367.356
1775744145103,306384,1775744143884,292324,-804.603,326275.1,-367.314
1775744145204,306384,1775744143884,297216,-804.603,331123.1,-366.397
1775744145358,330672,1775744144383,306916,-804.603,338851.1,-325.314
1775744145430,330672,1775744144383,306916,-804.603,342307.1,-397.314
1775744145504,330672,1775744144383,311810,-804.603,345859.1,-369.356
1775744145604,330672,1775744144383,316611,-804.603,350659.1,-369.335
1775744145707,330672,1775744144383,321507,-804.642,355601.2,-370.295
1775744145804,352464,1775744144883,326307,-804.642,358049.2,-321.295
1775744145903,352464,1775744144883,331108,-804.642,362801.2,-320.274
1775744146003,352464,1775744144883,336000,-804.642,367601.2,-318.357
1775744146118,352464,1775744144883,340802,-804.642,373121.2,-333.316
1775744146203,376752,1775744145384,345604,-804.642,377441.2,-323.274
1775744146303,376752,1775744145384,350497,-804.642,382241.2,-321.337
1775744146404,376752,1775744145384,355298,-804.642,387089.2,-322.316
1775744146504,376752,1775744145384,360101,-804.642,391889.2,-322.253
1775744146627,376752,1775744145384,364995,-804.678,397791.4,-343.259
1775744146703,376752,1775744145384,369796,-804.678,401439.4,-319.238
