wallMs,obsHostFrame,obsHostTimeMs,guestFrame,seekAccum,filteredOffsetMs,expectedHostFrame,driftMs
1775792798370,19008,1775792797445,9600,41856,-249.000,51456.0,0.000
1775792798464,42720,1775792797938,14112,41856,-249.000,56016.0,-1.000
1775792798560,42720,1775792797938,18720,41856,-249.000,60624.0,-1.000
1775792798654,42720,1775792797938,23232,41856,-249.000,65136.0,-1.000
1775792798759,42720,1775792797938,28272,41856,-249.000,70176.0,-1.000
1775792798864,42720,1775792797938,33360,41856,-249.000,75216.0,0.000
1775792798960,64704,1775792798396,37920,41856,-249.000,79824.0,-1.000
1775792799063,64704,1775792798396,42864,41856,-249.000,84768.0,-1.000
1775792799157,64704,1775792798396,47376,41856,-249.000,89280.0,-1.000
1775792799259,64704,1775792798396,52272,41856,-246.500,94296.0,-3.500
1775792799359,93744,1775792799001,57072,41856,-246.500,99096.0,-3.500
1775792799460,93744,1775792799001,61920,41856,-246.500,103944.0,-3.500
1775792799561,93744,1775792799001,66768,41856,-246.500,108792.0,-3.500
1775792799661,93744,1775792799001,71568,41856,-246.500,113592.0,-3.500
1775792799762,93744,1775792799001,76416,41856,-246.500,118440.0,-3.500
1775792799863,93744,1775792799001,81264,41856,-246.500,123288.0,-3.500
1775792799963,113136,1775792799405,86064,41856,-246.500,128088.0,-3.500
1775792800065,113136,1775792799405,90960,41856,-246.500,132984.0,-3.500
1775792800115,113136,1775792799405,93360,41856,-246.500,135384.0,-3.500
1775792800217,113136,1775792799405,98256,41856,-244.250,140388.0,-5.750
1775792800369,137376,1775792799910,105552,41856,-244.250,147684.0,-5.750
1775792800419,137376,1775792799910,107952,41856,-244.250,150084.0,-5.750
1775792800520,137376,1775792799910,112800,41856,-244.250,154932.0,-5.750
1775792800620,137376,1775792799910,117600,41856,-244.250,159732.0,-5.750
1775792800721,137376,1775792799910,122448,41856,-244.250,164580.0,-5.750
1775792800822,137376,1775792799910,127296,41856,-244.250,169428.0,-5.750
1775792800923,161520,1775792800413,132144,41856,-244.250,174276.0,-5.750
1775792801025,161520,1775792800413,137040,41856,-244.250,179172.0,-5.750
1775792801126,161520,1775792800413,141888,41856,-244.250,184020.0,-5.750
1775792801228,161520,1775792800413,146784,41856,-244.250,188916.0,-5.750
1775792801329,185808,1775792800919,151632,41856,-242.225,193861.2,-7.775
1775792801431,185808,1775792800919,156528,41856,-242.225,198757.2,-7.775
1775792801533,185808,1775792800919,161424,41856,-242.225,203653.2,-7.775
1775792801634,185808,1775792800919,166272,41856,-242.225,208501.2,-7.775
1775792801735,185808,1775792800919,171120,41856,-242.225,213349.2,-7.775
1775792801835,185808,1775792800919,175968,41856,-242.225,218149.2,-6.775
1775792801937,210096,1775792801425,180816,41856,-242.225,223045.2,-7.775
1775792802037,210096,1775792801425,185616,41856,-242.225,227845.2,-7.775
1775792802138,210096,1775792801425,190464,41856,-242.225,232693.2,-7.775
1775792802239,210096,1775792801425,195312,41856,-242.225,237541.2,-7.775
1775792802340,210096,1775792801425,200160,41856,-242.225,242389.2,-7.775
1775792802442,234288,1775792801930,205056,41856,-242.225,247237.2,-6.775
1775792802544,234288,1775792801930,209952,41856,-240.403,252220.7,-8.597
1775792802645,234288,1775792801930,214800,41856,-240.403,257068.7,-8.597
1775792802746,234288,1775792801930,219648,41856,-240.403,261916.7,-8.597
1775792802847,234288,1775792801930,224496,41856,-240.403,266764.7,-8.597
1775792802947,258528,1775792802435,229296,41856,-240.403,271564.7,-8.597
1775792803048,258528,1775792802435,234144,41856,-240.403,276412.7,-8.597
1775792803150,258528,1775792802435,239040,41856,-240.403,281308.7,-8.597
1775792803250,258528,1775792802435,243840,41856,-238.862,286182.6,-10.138
1775792803351,282816,1775792802940,248688,41856,-238.862,291078.6,-11.138
1775792803453,282816,1775792802940,253584,41856,-238.862,295974.6,-11.138
1775792803554,282816,1775792802940,258432,41856,-238.862,300822.6,-11.138
1775792803655,282816,1775792802940,263280,41856,-238.862,305670.6,-11.138
1775792803756,282816,1775792802940,268128,41856,-238.862,310518.6,-11.138
1775792803857,282816,1775792802940,272976,41856,-238.862,315366.6,-11.138
1775792803957,307056,1775792803445,277776,41856,-238.862,320166.6,-11.138
1775792808170,19152,1775792807337,8736,38771,-242.265,47507.3,-0.006
1775792808296,42864,1775792807831,14784,38771,-244.839,53431.7,2.568
1775792808370,42864,1775792807831,18336,38771,-244.839,56983.7,2.568
1775792808474,42864,1775792807831,23328,38771,-244.839,61975.7,2.568
1775792808577,42864,1775792807831,28272,38771,-244.839,66919.7,2.568
1775792808673,42864,1775792807831,32880,38771,-244.839,71527.7,2.568
1775792808778,42864,1775792807831,37920,38771,-244.839,76567.7,2.568
1775792808873,64800,1775792808288,42480,38771,-244.839,81127.7,2.568
1775792808967,64800,1775792808288,46992,38771,-244.839,85639.7,2.568
1775792809079,64800,1775792808288,52368,38771,-244.839,91015.7,2.568
1775792809130,64800,1775792808288,54816,38771,-244.839,93463.7,2.568
1775792809282,88992,1775792808792,62112,38771,-244.839,100759.7,2.568
