wallMs,framePos,timeNs,ok
1775782381390,3840,8939795375598,1
1775782381504,9312,8939910016223,1
1775782381589,13392,8939994383827,1
1775782381692,18336,8940098061171,1
1775782381786,22848,8940192041744,1
1775782381892,27936,8940297885546,1
1775782381997,32976,8940402683618,1
1775782382091,37488,8940496335129,1
1775782382195,42480,8940600916900,1
1775782382287,46944,8940693187056,1
1775782382348,49824,8940753801170,1
1775782382450,54720,8940855480910,1
1775782382551,59568,8940956285285,1
1775782382651,64368,8941057026795,1
1775782382753,69264,8941158272368,1
1775782382854,74112,8941259479347,1
1775782382955,79008,8941361121066,1
1775782383056,83808,8941461661170,1
1775782383157,88656,8941562692837,1
1775782383258,93504,8941663207628,1
1775782383358,98304,8941763936118,1
1775782383459,103152,8941864917472,1
1775782383560,108000,8941965373305,1
1775782383660,112800,8942065911326,1
1775782383761,117696,8942167129191,1
1775782383862,122496,8942267759555,1
1775782383964,127392,8942369223982,1
1775782384064,132192,8942469790909,1
1775782384166,137088,8942571495493,1
1775782384266,141888,8942671803409,1
1775782384367,146736,8942772874503,1
1775782384469,151632,8942874351795,1
1775782384570,156480,8942975385232,1
1775782384671,161328,8943077004972,1
1775782384773,166224,8943178400597,1
1775782384874,171072,8943279591847,1
1775782384975,175920,8943380638617,1
1775782385076,180768,8943481728461,1
1775782385178,185664,8943583341534,1
1775782385278,190464,8943683730388,1
1775782385379,195312,8943784810128,1
1775782385480,200208,8943886129607,1
1775782385582,205056,8943987805700,1
1775782385683,209904,8944088568461,1
1775782385784,214752,8944189638044,1
1775782385885,219600,8944290328357,1
1775782385986,224448,8944391440700,1
1775782386087,229296,8944492394554,1
1775782386189,234192,8944594257315,1
1775782386290,239040,8944695626690,1
1775782386391,243888,8944796383669,1
1775782386491,248688,8944896744242,1
1775782386593,253584,8944998211429,1
1775782386694,258432,8945099917679,1
1775782386794,263232,8945200074762,1
1775782386895,268080,8945300369762,1
1775782386945,270480,8945350565544,1
1775782387097,277776,8945502681898,1
1775782387148,280224,8945553262992,1
1775782387249,285072,8945654237471,1
1775782387350,289920,8945756032939,1
1775782387451,294768,8945856413043,1
1775782387552,299616,8945957514971,1
1775782387654,304512,8946059331064,1
1775782387755,309360,8946160274710,1
1775782387855,314208,8946261095491,1
1775782387956,319008,8946361863564,1
1775782388107,326304,8946513084658,1
1775782388158,328704,8946563689241,1
1775782388258,333504,8946663700074,1
1775782388359,338352,8946764333616,1
1775782388460,343200,8946865332574,1
1775782388560,348048,8946966171845,1
1775782388661,352848,8947066814762,1
1775782388762,357696,8947167545595,1
1775782388863,362544,8947268285855,1
1775782388963,367392,8947369123512,1
1775782389064,372192,8947470039710,1
1775782389165,377040,8947570386324,1
1775782389266,381888,8947671699449,1
1775782389367,386784,8947773162991,1
1775782389469,391632,8947874238668,1
1775782389570,396480,8947975446428,1
1775782389671,401328,8948076349241,1
1775782389771,406128,8948176984241,1
1775782389872,411024,8948278196740,1
1775782389974,415872,8948379705334,1
1775782390075,420720,8948480899657,1
1775782390177,425616,8948582514188,1
1775782390279,430512,8948684362990,1
1775782390379,435312,8948784740334,1
1775782390480,440160,8948885575126,1
1775782390582,445056,8948987567574,1
1775782390682,449856,8949087487001,1
1775782390783,454704,8949188893667,1
1775782390884,459552,8949289410803,1
1775782390984,464400,8949390149032,1
1775782391085,469200,8949490740855,1
1775782391186,474048,8949591598875,1
1775782391286,478848,8949692071219,1
1775782391387,483744,8949793149761,1
1775782391489,488592,8949894673042,1
1775782391590,493440,8949995734292,1
1775782391691,498288,8950096501896,1
1775782391792,503136,8950197304604,1
1775782391893,507984,8950298241427,1
1775782391994,512832,8950399636115,1
1775782392095,517680,8950501036010,1
1775782392197,522576,8950602635385,1
1775782392247,524976,8950652886531,1
1775782392348,529872,8950754098875,1
1775782392449,534720,8950855095229,1
1775782392601,541968,8951006860125,1
1775782392652,544416,8951057740750,1
1775782392754,549312,8951159344760,1
1775782392854,554112,8951259488979,1
1775782392955,558960,8951360882052,1
1775782393056,563808,8951461249604,1
1775782393157,568656,8951562518354,1
1775782393258,573504,8951663475698,1
1775782393359,578400,8951765106322,1
1775782393460,583200,8951866067833,1
1775782393561,588096,8951967173874,1
1775782393662,592896,8952067941583,1
1775782393763,597744,8952168641531,1
1775782393864,602592,8952269745593,1
1775782393965,607440,8952370712520,1
1775782394066,612288,8952471762416,1
1775782394167,617136,8952572758718,1
1775782394268,621984,8952673677676,1
1775782394369,626832,8952774608562,1
1775782394470,631680,8952875318093,1
1775782394570,636480,8952975568353,1
1775782394671,641328,8953076850072,1
1775782394773,646224,8953178236270,1
1775782394874,651072,8953279628509,1
1775782394974,655920,8953380134968,1
1775782395075,660720,8953481064499,1
1775782395177,665616,8953582443509,1
1775782395277,670416,8953682961374,1
1775782395378,675264,8953784009238,1
1775782395479,680112,8953884835801,1
1775782395581,685008,8953986247572,1
1775782395682,689856,8954087391738,1
1775782395783,694704,8954188294915,1
1775782395883,699504,8954288870019,1
1775782395984,704352,8954390012519,1
1775782396086,709248,8954491841999,1
1775782396187,714096,8954592551426,1
1775782396288,718944,8954693787884,1
1775782396389,723792,8954794801530,1
1775782396490,728640,8954895579498,1
1775782396591,733488,8954996427675,1
1775782396692,738336,8955097251998,1
1775782396793,743184,8955198334967,1
1775782396893,747984,8955298839290,1
1775782396994,752832,8955399650227,1
1775782397095,757680,8955500829654,1
1775782397196,762528,8955601908248,1
1775782397247,764976,8955652955175,1
1775782397348,769824,8955753865696,1
1775782397449,774672,8955854335592,1
1775782397550,779520,8955955741217,1
1775782397652,784416,8956057556425,1
1775782397752,789216,8956157976946,1
1775782397854,794112,8956259422883,1
1775782397954,798912,8956359927050,1
1775782398055,803760,8956460954342,1
1775782398156,808656,8956562152831,1
1775782398257,813504,8956663176321,1
1775782398358,818304,8956763794185,1
1775782398459,823152,8956864709393,1
1775782398560,828000,8956965746164,1
1775782398660,832800,8957066037518,1
1775782398762,837696,8957167378508,1
1775782398863,842544,8957268401216,1
1775782398964,847392,8957369318404,1
1775782399064,852192,8957469874393,1
1775782399165,857040,8957570838091,1
1775782399266,861888,8957671354706,1
1775782399366,866736,8957772101476,1
1775782399467,871584,8957873122101,1
1775782399568,876432,8957974089549,1
1775782399669,881232,8958074655070,1
1775782399769,886080,8958175140383,1
1775782399870,890880,8958275876632,1
1775782399971,895728,8958376581060,1
1775782400072,900576,8958477617518,1
1775782400173,905424,8958578913091,1
1775782400274,910272,8958679596476,1
1775782400375,915120,8958780539028,1
1775782400476,919968,8958881647622,1
1775782400577,924816,8958982780434,1
1775782400678,929664,8959083982726,1
1775782400779,934512,8959184941945,1
1775782400880,939360,8959285688559,1
1775782400981,944208,8959386790851,1
1775782401082,949104,8959488107153,1
1775782401184,953952,8959589587569,1
1775782401286,958848,8959691506111,1
1775782401386,963648,8959791458403,1
1775782401487,968496,8959892652882,1
1775782401587,973296,8959992797413,1
1775782401689,978192,8960094296163,1
1775782401789,982992,8960194846423,1
1775782401890,987840,8960296061475,1
1775782401992,992736,8960398075590,1
1775782402094,997632,8960499467777,1
1775782402195,1002480,8960600424288,1
1775782402245,1004928,8960651202048,1
1775782402346,1009728,8960751933715,1
1775782402447,1014576,8960852999392,1
1775782402550,1019520,8960955800642,1
1775782402649,1024272,8961054804861,1
1775782402751,1029168,8961156438871,1
1775782402852,1034016,8961258073246,1
1775782402954,1038912,8961359233142,1
1775782403054,1043712,8961459829444,1
1775782403155,1048560,8961560811058,1
1775782403256,1053408,8961661555381,1
1775782403357,1058256,8961762260589,1
1775782403458,1063104,8961863965277,1
1775782403560,1068000,8961965727517,1
1775782403662,1072896,8962067267725,1
1775782403761,1077696,8962167207412,1
1775782403863,1082544,8962268286683,1
1775782403963,1087344,8962368953141,1
1775782404064,1092192,8962469403714,1
1775782404164,1097040,8962570127516,1
1775782404264,1101792,8962670074339,1
1775782404366,1106688,8962771804964,1
1775782404468,1111584,8962873306370,1
1775782404569,1116432,8962974331266,1
1775782404670,1121280,8963075746995,1
1775782404770,1126128,8963176172047,1
1775782404872,1130976,8963277648610,1
1775782404973,1135824,8963378708297,1
1775782405074,1140672,8963479459912,1
1775782405175,1145568,8963581143974,1
1775782405277,1150416,8963682699755,1
1775782405378,1155264,8963783673870,1
1775782405479,1160112,8963884294860,1
1775782405580,1164960,8963985545849,1
1775782405681,1169808,8964086531839,1
1775782405782,1174656,8964188059391,1
1775782405883,1179504,8964289018609,1
1775782405985,1184400,8964390425224,1
1775782406086,1189248,8964491723818,1
1775782406187,1194096,8964592699911,1
1775782406288,1198944,8964694008818,1
1775782406389,1203792,8964794787463,1
1775782406490,1208640,8964895865432,1
1775782406591,1213488,8964996421630,1
1775782406692,1218336,8965097862047,1
1775782406793,1223184,8965198541578,1
1775782406894,1228032,8965299584494,1
1775782406995,1232880,8965400659963,1
1775782407046,1235328,8965451557724,1
1775782407147,1240176,8965552942098,1
1775782407249,1245072,8965654254130,1
1775782407349,1249920,8965755183557,1
1775782407450,1254720,8965855739703,1
1775782407552,1259616,8965957257359,1
1775782407652,1264416,8966057569182,1
1775782407753,1269264,8966158884442,1
1775782407855,1274160,8966260236109,1
1775782407956,1279008,8966361725119,1
1775782408057,1283856,8966462274181,1
1775782408158,1288704,8966563293869,1
1775782408258,1293504,8966663975223,1
1775782408359,1298352,8966765079286,1
1775782408461,1303248,8966866486890,1
1775782408562,1308096,8966967335119,1
1775782408662,1312896,8967068001212,1
1775782408764,1317792,8967169392567,1
1775782408865,1322640,8967270546160,1
1775782408966,1327488,8967371910379,1
1775782409067,1332336,8967472992306,1
1775782409169,1337232,8967574562619,1
1775782409270,1342080,8967675742827,1
1775782409371,1346928,8967776311837,1
1775782409472,1351776,8967877306316,1
1775782409572,1356624,8967978084806,1
1775782409674,1361520,8968080121004,1
1775782409775,1366320,8968180413868,1
1775782409875,1371168,8968281199597,1
1775782409977,1376016,8968382570014,1
1775782410078,1380864,8968483831837,1
1775782410179,1385712,8968584725431,1
1775782410280,1390560,8968685697826,1
1775782410382,1395456,8968787294337,1
1775782410483,1400304,8968888212253,1
1775782410583,1405104,8968988733712,1
1775782410684,1409952,8969089684493,1
1775782410785,1414800,8969190775847,1
1775782410886,1419648,8969291881837,1
1775782410986,1424448,8969391893243,1
1775782411087,1429296,8969492734337,1
1775782411188,1434144,8969593818034,1
1775782411289,1438992,8969694746628,1
1775782411391,1443888,8969796490430,1
1775782411493,1448784,8969898359388,1
1775782411593,1453584,8969998965534,1
1775782411695,1458480,8970100833920,1
1775782411746,1460928,8970151587774,1
1775782411846,1465776,8970252119545,1
1775782411947,1470576,8970352669388,1
1775782412048,1475424,8970453339388,1
1775782412148,1480224,8970553769180,1
1775782412249,1485072,8970654237826,1
1775782412350,1489920,8970755488815,1
1775782412451,1494768,8970856646367,1
1775782412553,1499664,8970958563815,1
1775782412653,1504512,8971059205065,1
1775782412754,1509360,8971160158346,1
1775782412855,1514208,8971261166159,1
1775782412956,1519008,8971361977669,1
1775782413057,1523856,8971462418034,1
1775782413158,1528704,8971564011992,1
1775782413260,1533600,8971665584909,1
1775782413361,1538448,8971766739179,1
1775782413462,1543344,8971868136784,1
1775782413563,1548192,8971969160794,1
1775782413665,1553040,8972070311367,1
1775782413765,1557840,8972170660429,1
1775782413866,1562688,8972271703971,1
1775782413967,1567536,8972372678658,1
1775782414068,1572384,8972473727460,1
1775782414168,1577232,8972574111002,1
1775782414270,1582080,8972675375117,1
1775782414371,1586928,8972776655846,1
1775782414472,1591776,8972877901054,1
1775782414574,1596672,8972979260377,1
1775782414674,1601520,8973080151002,1
1775782414776,1606368,8973181664596,1
1775782414877,1611216,8973282443710,1
1775782414978,1616064,8973383275898,1
1775782415078,1620864,8973483506731,1
1775782415179,1625712,8973584830897,1
1775782415280,1630560,8973685903918,1
1775782415380,1635360,8973786055220,1
1775782415481,1640256,8973887112668,1
1775782415582,1645056,8973987562199,1
1775782415683,1649904,8974088919856,1
1775782415784,1654752,8974189541783,1
1775782415886,1659648,8974291527824,1
1775782415986,1664448,8974391313137,1
1775782416087,1669296,8974492512147,1
1775782416188,1674144,8974593899178,1
1775782416289,1678992,8974694387043,1
1775782416390,1683840,8974795388397,1
1775782416490,1688640,8974895538657,1
1775782416591,1693488,8974996282147,1
1775782416692,1698336,8975097424543,1
1775782416792,1703136,8975197659334,1
1775782416892,1707984,8975298163136,1
1775782416993,1712784,8975398698136,1
1775782417094,1717632,8975499414386,1
1775782417195,1722480,8975600223240,1
1775782417295,1727280,8975701047928,1
1775782417396,1732176,8975802202615,1
1775782417497,1736976,8975902808761,1
1775782417547,1739424,8975953128813,1
1775782417648,1744272,8976054114490,1
1775782417750,1749120,8976155748240,1
1775782417850,1753920,8976256036417,1
1775782417951,1758768,8976356939126,1
1775782418052,1763616,8976457267094,1
1775782418153,1768464,8976558337146,1
1775782418254,1773312,8976659720896,1
1775782418355,1778208,8976761089646,1
1775782418456,1783008,8976861286157,1
1775782418557,1787856,8976962509646,1
1775782418658,1792704,8977063360896,1
1775782418759,1797552,8977165014438,1
1775782418860,1802400,8977266047302,1
1775782418961,1807296,8977367175115,1
1775782419062,1812096,8977467473917,1
1775782419163,1816944,8977568640844,1
1775782419264,1821792,8977669561365,1
1775782419365,1826640,8977770684750,1
1775782419466,1831488,8977871564594,1
1775782419567,1836336,8977972878031,1
1775782419669,1841232,8978074324281,1
1775782419769,1846032,8978174762406,1
1775782419870,1850880,8978275623344,1
1775782419971,1855776,8978377175062,1
1775782420073,1860624,8978478260427,1
1775782420173,1865424,8978578988604,1
1775782420273,1870224,8978678960427,1
1775782420374,1875072,8978779562979,1
1775782420474,1879872,8978879804698,1
1775782420575,1884720,8978980243031,1
1775782420675,1889520,8979080637302,1
1775782420776,1894416,8979182199541,1
1775782420877,1899216,8979282988239,1
1775782420978,1904064,8979383644333,1
1775782421079,1908912,8979484345947,1
1775782421180,1913760,8979586036051,1
1775782421280,1918608,8979686107718,1
1775782421382,1923456,8979787486468,1
1775782421483,1928304,8979888423968,1
1775782421584,1933152,8979989741833,1
1775782421685,1938000,8980090987197,1
1775782421786,1942848,8980191682405,1
1775782421887,1947696,8980293059124,1
1775782421988,1952544,8980393928655,1
1775782422089,1957392,8980494665687,1
1775782422190,1962240,8980595733239,1
1775782422290,1967040,8980695991311,1
1775782422392,1971936,8980797353655,1
1775782422492,1976736,8980897656832,1
1775782422594,1981632,8980999531624,1
1775782422695,1986480,8981100445322,1
1775782422796,1991328,8981201364228,1
1775782422897,1996224,8981303106467,1
1775782422998,2001024,8981403411207,1
1775782423048,2003472,8981454181624,1
1775782423150,2008320,8981555931051,1
1775782423251,2013168,8981656631519,1
1775782423352,2018016,8981757397457,1
1775782423453,2022864,8981858717561,1
1775782423554,2027712,8981959795738,1
1775782423655,2032560,8982060727821,1
1775782423756,2037408,8982161544436,1
1775782423857,2042304,8982263104748,1
1775782423959,2047152,8982364518863,1
1775782424060,2052048,8982466204123,1
1775782424162,2056896,8982567397196,1
1775782424262,2061696,8982667913446,1
1775782424363,2066544,8982768711467,1
1775782424463,2071344,8982868933602,1
1775782424564,2076240,8982970164748,1
1775782424666,2081088,8983071309123,1
1775782424767,2085936,8983172314488,1
1775782424867,2090736,8983272910685,1
1775782424968,2095584,8983373957613,1
1775782425070,2100480,8983475244696,1
1775782425170,2105280,8983575790529,1
1775782425271,2110128,8983677032352,1
1775782425372,2115024,8983778159123,1
1775782425474,2119872,8983879518289,1
1775782425575,2124720,8983980466519,1
1775782425676,2129568,8984081747248,1
1775782425778,2134464,8984183385008,1
1775782425878,2139312,8984284148966,1
1775782425979,2144112,8984384576727,1
1775782426079,2148912,8984484720893,1
1775782426180,2153760,8984586037247,1
1775782426282,2158656,8984687560320,1
1775782426382,2163456,8984787931102,1
1775782426483,2168304,8984888915372,1
1775782426584,2173152,8984989873862,1
1775782426685,2178000,8985090371206,1
1775782426785,2182800,8985190881206,1
1775782426885,2187648,8985291186935,1
1775782426986,2192496,8985392115633,1
1775782427086,2197296,8985492185528,1
1775782427188,2202144,8985593781830,1
1775782427290,2207040,8985695474903,1
1775782427390,2211840,8985796003653,1
1775782427491,2216688,8985896848080,1
1775782427592,2221536,8985997308028,1
1775782427693,2226384,8986098853393,1
1775782427795,2231280,8986200593341,1
1775782427896,2236128,8986301354747,1
1775782427997,2240976,8986402750580,1
1775782428048,2243424,8986453778132,1
1775782428199,2250672,8986604632247,1
1775782428250,2253120,8986655298028,1
1775782428351,2257968,8986756343028,1
1775782428452,2262816,8986857620424,1
1775782428553,2267664,8986959081934,1
1775782428655,2272560,8987060362976,1
1775782428755,2277360,8987160801413,1
1775782428856,2282208,8987261512038,1
1775782428958,2287104,8987363426934,1
1775782429058,2291904,8987463808340,1
1775782429159,2296752,8987564227819,1
1775782429260,2301600,8987665557559,1
1775782429361,2306400,8987766242455,1
1775782429461,2311248,8987866916152,1
1775782429562,2316096,8987967815788,1
1775782429663,2320944,8988068483600,1
1775782429764,2325792,8988169710892,1
1775782429866,2330688,8988271520059,1
1775782429966,2335488,8988371933965,1
1775782430067,2340336,8988472792767,1
1775782430168,2345184,8988573682142,1
1775782430269,2350032,8988674462142,1
1775782430370,2354880,8988775844277,1
1775782430471,2359728,8988877064798,1
1775782430572,2364624,8988978114902,1
1775782430673,2369472,8989079132194,1
1775782430775,2374320,8989180659694,1
1775782430876,2379168,8989281454798,1
1775782430978,2384064,8989383266152,1
1775782431079,2388912,8989484301621,1
1775782431179,2393712,8989584862610,1
1775782431280,2398560,8989685973287,1
1775782431381,2403408,8989786541464,1
1775782431482,2408256,8989887790266,1
1775782431583,2413104,8989988228547,1
1775782431684,2417952,8990089749381,1
1775782431786,2422848,8990191426464,1
1775782431886,2427696,8990292162506,1
1775782431987,2432496,8990392776464,1
1775782432088,2437344,8990493767870,1
1775782432189,2442192,8990594685266,1
1775782432290,2447040,8990696027141,1
1775782432391,2451936,8990797133495,1
1775782432493,2456784,8990898491776,1
1775782432594,2461632,8990999599328,1
1775782432695,2466480,8991100896464,1
1775782432796,2471328,8991201636307,1
1775782432847,2473776,8991252705787,1
1775782432948,2478624,8991354072297,1
1775782433049,2483472,8991454444276,1
1775782433150,2488320,8991555232609,1
1775782433251,2493168,8991656504849,1
1775782433352,2498016,8991758070734,1
1775782433454,2502912,8991859328495,1
1775782433555,2507760,8991960437609,1
1775782433657,2512656,8992062338078,1
1775782433757,2517456,8992162689224,1
1775782433858,2522304,8992263430005,1
1775782433960,2527200,8992365292922,1
1775782434061,2532048,8992466670942,1
1775782434162,2536896,8992567535057,1
1775782434263,2541744,8992668581619,1
1775782434364,2546592,8992769331463,1
1775782434464,2551440,8992870094901,1
1775782434566,2556288,8992971680994,1
1775782434667,2561136,8993072489223,1
1775782434767,2565936,8993172903650,1
1775782434869,2570832,8993274330109,1
1775782434970,2575680,8993375238494,1
1775782435071,2580528,8993476765265,1
1775782435172,2585376,8993577869588,1
1775782435274,2590272,8993679223234,1
1775782435375,2595120,8993780343077,1
1775782435476,2600016,8993882167713,1
1775782435577,2604816,8993982871098,1
1775782435678,2609664,8994083947140,1
1775782435779,2614512,8994184693910,1
1775782435880,2619360,8994285644952,1
1775782435981,2624208,8994386430265,1
1775782436083,2629104,8994488402087,1
1775782436183,2633904,8994588923025,1
1775782436284,2638752,8994690015369,1
1775782436386,2643648,8994791395004,1
1775782436487,2648496,8994892623546,1
1775782436588,2653344,8994993529848,1
1775782436689,2658192,8995094956827,1
1775782436790,2663040,8995195400941,1
1775782436890,2667840,8995295697191,1
1775782436991,2672688,8995396443441,1
1775782437091,2677488,8995496934952,1
1775782437193,2682384,8995598663858,1
1775782437294,2687232,8995699444743,1
1775782437394,2692032,8995799859014,1
1775782437445,2694480,8995850734483,1
1775782437546,2699328,8995952050316,1
1775782437647,2704224,8996053131983,1
1775782437749,2709072,8996154327347,1
1775782437850,2713920,8996255485212,1
1775782437950,2718720,8996356051305,1
1775782438052,2723616,8996457794430,1
1775782438152,2728464,8996558098597,1
1775782438254,2733312,8996659577555,1
1775782438355,2738160,8996760751774,1
1775782438456,2743008,8996861370680,1
1775782438557,2747856,8996962760680,1
1775782438658,2752704,8997063949066,1
1775782438760,2757600,8997165702868,1
1775782438861,2762448,8997266860732,1
1775782438962,2767296,8997367654743,1
1775782439063,2772144,8997468950211,1
1775782439164,2776992,8997569495003,1
1775782439265,2781840,8997670474274,1
1775782439367,2786736,8997772305940,1
1775782439467,2791536,8997872557399,1
1775782439568,2796384,8997973711201,1
1775782439669,2801232,8998074312919,1
1775782439769,2806032,8998175075263,1
1775782439870,2810880,8998275701461,1
1775782439971,2815728,8998376586044,1
1775782440072,2820576,8998477790680,1
1775782440173,2825424,8998578613440,1
1775782440274,2830272,8998679550627,1
1775782440374,2835072,8998779902242,1
1775782440476,2839968,8998881671252,1
1775782440577,2844816,8998982370575,1
1775782440678,2849664,8999083957867,1
1775782440780,2854560,8999185462086,1
1775782440881,2859408,8999286553336,1
1775782440982,2864256,8999387678804,1
1775782441083,2869104,8999488795940,1
1775782441183,2873952,8999589118179,1
1775782441284,2878800,8999690106252,1
1775782441386,2883648,8999791574898,1
1775782441487,2888544,8999893132242,1
1775782441589,2893392,8999994377919,1
1775782441690,2898240,9000095489117,1
1775782441791,2903088,9000196261877,1
1775782441891,2907888,9000296855835,1
1775782441992,2912736,9000397837398,1
1775782442093,2917584,9000498369429,1
1775782442194,2922432,9000599986512,1
1775782442296,2927328,9000701298491,1
1775782442397,2932176,9000802324741,1
1775782442447,2934576,9000852524845,1
1775782442548,2939424,9000953930158,1
1775782442649,2944272,9001054541252,1
1775782442750,2949120,9001155675418,1
1775782442851,2953968,9001256313179,1
1775782442952,2958816,9001357219741,1
1775782443053,2963664,9001458791251,1
1775782443155,2968560,9001560971460,1
1775782443256,2973408,9001661845731,1
1775782443358,2978304,9001763527553,1
1775782443459,2983152,9001864314637,1
1775782443560,2988000,9001965728126,1
1775782443661,2992848,9002066791043,1
1775782443762,2997696,9002167594793,1
1775782443863,3002544,9002269080157,1
1775782443964,3007392,9002369447137,1
1775782444065,3012288,9002471135939,1
1775782444167,3017136,9002572756876,1
1775782444268,3021984,9002674080938,1
1775782444370,3026880,9002776046616,1
1775782444472,3031776,9002877714376,1
1775782444573,3036624,9002978902032,1
1775782444674,3041472,9003079745730,1
1775782444774,3046272,9003179666720,1
1775782444875,3051120,9003280873907,1
1775782444977,3056016,9003382573334,1
1775782445077,3060816,9003482860365,1
1775782445179,3065712,9003584332188,1
1775782445280,3070560,9003685651876,1
1775782445382,3075456,9003787614271,1
