eventId,wallMs,msSinceSeek,driftMs,correctionFrames,oldVf,newVf,kind
0,1775747344726,0,50.179,-1927,95054,93127,pre
0,1775747344829,103,-8.925,,,,probe
0,1775747345031,305,-0.925,,,,probe
0,1775747345227,501,-6.946,,,,probe
0,1775747345751,1025,-23.711,,,,probe
1,1775747345751,0,-23.711,911,141991,142902,pre
1,1775747345926,175,-69.774,,,,probe
1,1775747346126,375,-67.732,,,,probe
1,1775747346327,576,-66.732,,,,probe
1,1775747346826,1075,-83.519,,,,probe
2,1775747346826,0,-83.519,3207,194550,197757,pre
2,1775747346927,101,-17.686,,,,probe
2,1775747347127,301,-15.707,,,,probe
2,1775747347327,501,-13.707,,,,probe
2,1775747347846,1020,69.883,,,,probe
3,1775747347846,0,69.883,-2683,246717,244034,pre
3,1775747348028,182,-67.930,,,,probe
3,1775747348227,381,-64.930,,,,probe
3,1775747348427,581,-74.013,,,,probe
3,1775747348851,1005,-101.366,,,,probe
4,1775747348851,0,-101.366,3892,292226,296118,pre
4,1775747349027,176,5.717,,,,probe
4,1775747349227,376,5.780,,,,probe
4,1775747349426,575,57.676,,,,probe
4,1775747349927,1076,52.241,,,,probe
5,1775747349927,0,52.241,-2006,347766,345760,pre
5,1775747350027,100,12.429,,,,probe
5,1775747350227,300,14.450,,,,probe
5,1775747350427,500,10.512,,,,probe
5,1775747350927,1000,12.940,,,,probe
5,1775747351927,2000,12.444,,,,probe
6,1775747354026,0,21.326,-819,542368,541549,pre
6,1775747354126,100,4.243,,,,probe
6,1775747354326,300,6.243,,,,probe
6,1775747354527,501,51.264,,,,probe
6,1775747355026,1000,50.750,,,,probe
7,1775747355026,0,50.750,-1949,589645,587696,pre
7,1775747355127,101,11.104,,,,probe
7,1775747355327,301,13.063,,,,probe
7,1775747355527,501,11.042,,,,probe
7,1775747356027,1001,9.467,,,,probe
8,1775747356726,0,-92.249,3542,669104,672646,pre
8,1775747356826,100,-20.374,,,,probe
8,1775747357027,301,-19.457,,,,probe
8,1775747357227,501,-17.436,,,,probe
8,1775747357726,1000,-19.222,,,,probe
9,1775747357827,0,-25.201,968,725350,726318,pre
9,1775747358026,199,-2.014,,,,probe
9,1775747358135,308,-9.097,,,,probe
9,1775747358427,600,-4.118,,,,probe
9,1775747358827,1000,45.057,,,,probe
10,1775747358827,0,45.057,-1730,774222,772492,pre
10,1775747358927,100,9.015,,,,probe
10,1775747359127,300,11.098,,,,probe
10,1775747359327,500,13.015,,,,probe
10,1775747359926,1099,8.276,,,,probe
10,1775747360927,2100,12.313,,,,probe
11,1775747364426,0,62.301,-2392,1041100,1038708,pre
11,1775747364526,100,14.447,,,,probe
11,1775747364726,300,14.698,,,,probe
11,1775747364926,500,8.719,,,,probe
11,1775747365427,1001,11.781,,,,probe
12,1775747366363,0,-28.211,1083,1131636,1132719,pre
12,1775747366527,164,32.289,,,,probe
12,1775747366726,363,35.316,,,,probe
12,1775747366927,564,30.253,,,,probe
12,1775747367427,1064,-71.684,,,,probe
13,1775747367427,0,-71.684,2753,1183695,1186448,pre
13,1775747367527,100,-14.288,,,,probe
13,1775747367827,400,-15.365,,,,probe
13,1775747368027,600,-13.365,,,,probe
13,1775747368430,1003,-18.324,,,,probe
14,1775747369327,0,36.660,-1408,1277648,1276240,pre
14,1775747369427,100,9.327,,,,probe
14,1775747369627,300,11.327,,,,probe
14,1775747369926,599,9.290,,,,probe
14,1775747370328,1001,6.353,,,,probe
14,1775747371327,2000,9.315,,,,probe
15,1775747374327,0,57.326,-2201,1516144,1513943,pre
15,1775747374527,200,13.493,,,,probe
15,1775747374628,301,12.558,,,,probe
15,1775747374828,501,7.475,,,,probe
15,1775747375427,1100,7.516,,,,probe
16,1775747375827,0,21.477,-825,1585751,1584926,pre
16,1775747375927,100,4.290,,,,probe
16,1775747376127,300,6.310,,,,probe
16,1775747376327,500,8.310,,,,probe
16,1775747376829,1002,3.354,,,,probe
17,1775747377627,0,-101.708,3906,1671230,1675136,pre
17,1775747377727,100,-20.291,,,,probe
17,1775747378027,400,-21.291,,,,probe
17,1775747378127,500,-19.333,,,,probe
17,1775747378727,1100,-15.312,,,,probe
17,1775747379627,2000,-7.312,,,,probe
18,1775747379927,0,23.648,-908,1785344,1784436,pre
18,1775747380027,100,1.839,,,,probe
18,1775747380329,402,-3.244,,,,probe
18,1775747380428,501,-0.244,,,,probe
18,1775747381027,1100,2.857,,,,probe
18,1775747381927,2000,1.232,,,,probe
19,1775747384826,0,54.838,-2106,2019636,2017530,pre
19,1775747384927,101,9.963,,,,probe
19,1775747385128,302,13.026,,,,probe
19,1775747385327,501,16.005,,,,probe
19,1775747385826,1000,12.175,,,,probe
19,1775747386827,2001,10.127,,,,probe
20,1775747388427,0,-89.694,3444,2190330,2193774,pre
20,1775747388527,100,-16.049,,,,probe
20,1775747388727,300,-13.940,,,,probe
20,1775747388927,500,-17.960,,,,probe
20,1775747389527,1100,-15.960,,,,probe
21,1775747390426,0,33.163,-1273,2289582,2288309,pre
21,1775747390527,101,5.642,,,,probe
21,1775747390727,301,7.717,,,,probe
21,1775747390927,501,6.634,,,,probe
21,1775747391427,1001,8.655,,,,probe
