seq,t1,t2,t3,rttMs,rawOffsetMs,filteredOffsetMs,phase
0,1775785914491,1775785914359,1775785914614,123,-193,,init
1,1775785914605,1775785914373,1775785914621,16,-240,,init
2,1775785914706,1775785914474,1775785914727,21,-242,,init
3,1775785914809,1775785914577,1775785914829,20,-242,,init
4,1775785914912,1775785914680,1775785914929,17,-240,,init
5,1775785915013,1775785914781,1775785915029,16,-240,,init
6,1775785915116,1775785914885,1775785915136,20,-241,,init
7,1775785915220,1775785914990,1775785915238,18,-239,,init
8,1775785915325,1775785915097,1775785915346,21,-238,,init
9,1775785915429,1775785915206,1775785915497,68,-257,,init
10,1775785917046,1775785917024,1775785917342,296,-170,-233.000,steady
11,1775785918046,1775785917952,1775785918271,225,-206,-230.300,steady
12,1775785919045,1775785918961,1775785919286,241,-204,-227.870,steady
13,1775785920045,1775785919871,1775785920208,163,-255,-230.583,steady
14,1775785921047,1775785920972,1775785921234,187,-168,-233.025,steady
15,1775785922046,1775785921916,1775785922255,209,-234,-235.222,steady
16,1775785923062,1775785922938,1775785923281,219,-233,-237.200,steady
17,1775785924043,1775785923863,1775785924149,106,-233,-236.780,steady
18,1775785925042,1775785924886,1775785925144,102,-207,-233.802,steady
19,1775785926044,1775785925912,1775785926155,111,-187,-231.122,steady
20,1775785927044,1775785926854,1775785927149,105,-242,-228.710,steady
21,1775785928044,1775785927979,1775785928245,201,-165,-226.539,steady
22,1775785929043,1775785928913,1775785929224,181,-220,-224.585,steady
23,1775785930106,1775785929890,1775785930137,31,-231,-225.226,steady
24,1775785931042,1775785930925,1775785931266,224,-229,-225.804,steady
25,1775785932045,1775785931848,1775785932149,104,-249,-226.323,steady
26,1775785933045,1775785932872,1775785933153,108,-227,-226.791,steady
27,1775785934047,1775785933928,1775785934241,194,-216,-227.212,steady
28,1775785935047,1775785934835,1775785935145,98,-261,-230.591,steady
29,1775785936042,1775785935972,1775785936237,195,-167,-233.632,steady
30,1775785937042,1775785936854,1775785937143,101,-238,-236.368,steady
31,1775785938045,1775785937892,1775785938145,100,-203,-238.832,steady
32,1775785939046,1775785938839,1775785939227,181,-297,-241.048,steady
33,1775785940062,1775785939939,1775785940277,215,-230,-237.244,steady
34,1775785941061,1775785940859,1775785941165,104,-254,-233.819,steady
35,1775785942049,1775785941885,1775785942159,110,-219,-230.737,steady
36,1775785943042,1775785942811,1775785943067,25,-243,-231.964,steady
37,1775785944056,1775785943831,1775785944172,116,-283,-233.067,steady
38,1775785945065,1775785944955,1775785945297,232,-226,-234.061,steady
39,1775785946050,1775785945833,1775785946102,52,-243,-234.954,steady
40,1775785947057,1775785946830,1775785947087,30,-242,-235.759,steady
41,1775785948056,1775785947835,1775785948095,39,-240,-236.383,steady
42,1775785949042,1775785948846,1775785949168,126,-259,-236.945,steady
43,1775785950062,1775785949870,1775785950168,106,-245,-237.450,steady
44,1775785951065,1775785950836,1775785951082,17,-237,-237.405,steady
45,1775785952058,1775785951825,1775785952074,16,-241,-237.765,steady
46,1775785953054,1775785952941,1775785953285,231,-228,-238.088,steady
47,1775785954044,1775785953830,1775785954092,48,-238,-238.379,steady
48,1775785955057,1775785954890,1775785955164,107,-220,-238.642,steady
49,1775785956056,1775785955835,1775785956160,104,-273,-238.877,steady
50,1775785957059,1775785956834,1775785957161,102,-276,-238.790,steady
51,1775785958056,1775785957886,1775785958160,104,-222,-238.711,steady
52,1775785959049,1775785958825,1775785959077,28,-238,-238.640,steady
53,1775785960066,1775785959836,1775785960092,26,-243,-239.076,steady
54,1775785961055,1775785960829,1775785961091,36,-244,-239.468,steady
55,1775785962057,1775785961843,1775785962162,105,-266,-239.821,steady
56,1775785963045,1775785962874,1775785963147,102,-222,-240.139,steady
57,1775785964048,1775785963903,1775785964242,194,-242,-240.425,steady
58,1775785965042,1775785964830,1775785965084,42,-233,-240.783,steady
59,1775785966043,1775785965838,1775785966091,48,-229,-240.004,steady
60,1775785967042,1775785966827,1775785967337,295,-362,-239.304,steady
61,1775785968050,1775785967836,1775785968085,35,-231,-238.474,steady
62,1775785969043,1775785968846,1775785969231,188,-291,-237.726,steady
63,1775785970044,1775785969836,1775785970088,44,-230,-237.054,steady
64,1775785971043,1775785970830,1775785971080,37,-231,-236.448,steady
65,1775785972042,1775785971812,1775785972062,20,-240,-236.803,steady
66,1775785973042,1775785972812,1775785973077,35,-247,-237.123,steady
67,1775785974042,1775785973940,1775785974277,235,-219,-237.411,steady
68,1775785975044,1775785974857,1775785975150,106,-240,-237.670,steady
69,1775785976043,1775785975813,1775785976066,23,-241,-237.903,steady
70,1775785977042,1775785976812,1775785977075,33,-246,-238.212,steady
71,1775785978042,1775785977825,1775785978094,52,-243,-238.491,steady
72,1775785979044,1775785978853,1775785979150,106,-244,-238.742,steady
73,1775785980045,1775785979814,1775785980063,18,-240,-238.868,steady
74,1775785981062,1775785980835,1775785981088,26,-240,-238.981,steady
75,1775785982042,1775785981831,1775785982159,117,-269,-239.083,steady
76,1775785983042,1775785982843,1775785983144,102,-250,-239.175,steady
77,1775785984043,1775785983830,1775785984077,34,-230,-239.257,steady
78,1775785985044,1775785984894,1775785985149,105,-202,-239.331,steady
79,1775785986044,1775785985932,1775785986258,214,-219,-238.398,steady
80,1775785987043,1775785986939,1775785987281,238,-223,-237.559,steady
81,1775785988042,1775785987832,1775785988094,52,-236,-236.803,steady
82,1775785989048,1775785988889,1775785989135,87,-202,-236.722,steady
83,1775785990044,1775785989813,1775785990071,27,-244,-237.450,steady
84,1775785991044,1775785990855,1775785991151,107,-242,-238.105,steady
85,1775785992044,1775785991837,1775785992145,101,-257,-238.695,steady
86,1775785993047,1775785992827,1775785993133,86,-263,-239.225,steady
87,1775785994042,1775785993813,1775785994079,37,-247,-239.703,steady
88,1775785995044,1775785994828,1775785995087,43,-237,-240.432,steady
89,1775785996043,1775785995850,1775785996149,106,-246,-241.089,steady
90,1775785997045,1775785996826,1775785997076,31,-234,-240.380,steady
91,1775785998052,1775785997834,1775785998082,30,-233,-239.642,steady
92,1775785999044,1775785998834,1775785999142,98,-259,-238.978,steady
93,1775786000042,1775785999944,1775786000286,244,-220,-238.380,steady
94,1775786001042,1775786000833,1775786001085,43,-230,-237.842,steady
95,1775786002047,1775786001889,1775786002135,88,-202,-237.358,steady
96,1775786003042,1775786002855,1775786003139,97,-235,-236.622,steady
97,1775786004042,1775786003936,1775786004283,241,-226,-235.960,steady
98,1775786005044,1775786004836,1775786005101,57,-236,-235.364,steady
99,1775786006048,1775786005888,1775786006236,188,-254,-235.428,steady
100,1775786007042,1775786006909,1775786007249,207,-236,-235.485,steady
101,1775786008044,1775786007827,1775786008090,46,-240,-235.936,steady
102,1775786009043,1775786008854,1775786009146,103,-240,-236.343,steady
103,1775786010052,1775786009828,1775786010147,95,-271,-236.708,steady
104,1775786011056,1775786010909,1775786011157,101,-197,-237.038,steady
105,1775786012044,1775786011832,1775786012083,39,-231,-236.434,steady
106,1775786013044,1775786012845,1775786013149,105,-251,-235.890,steady
107,1775786014043,1775786013833,1775786014138,95,-257,-235.401,steady
108,1775786015043,1775786014812,1775786015081,38,-250,-236.861,steady
109,1775786016044,1775786015833,1775786016085,41,-231,-238.175,steady
110,1775786017043,1775786016945,1775786017354,311,-253,-239.358,steady
111,1775786018043,1775786017834,1775786018095,52,-235,-240.422,steady
